Time[ps]      Epot1 [eV]    T1 [K]
0.0000          -4.9216      382.5  
0.0200          -3.2102      197.3  
0.0400          -3.2047      203.1  
0.0600          -3.6535      259.9  
0.0800          -3.1227      218.7  
0.1000          -3.0836      240.8  
0.1200          -2.9291      255.9  
0.1400          -2.6568      264.0  
0.1600          -2.4621      287.7  
0.1800          -2.5499      342.1  
0.2000          -2.1277      341.7  
0.2200          -2.1409      378.6  
0.2400          -1.9798      385.8  
0.2600          -1.9065      393.4  
0.2800          -1.5017      356.3  
0.3000          -1.8168      390.7  
0.3200          -1.4942      347.2  
0.3400          -1.6041      347.8  
0.3600          -1.5644      330.3  
0.3800          -1.9999      361.5  
0.4000          -1.6252      300.0  
0.4200          -1.5794      278.7  
0.4400          -2.2565      334.3  
0.4600          -2.1319      298.7  
0.4800          -2.2591      293.5  
0.5000          -2.2070      265.9  
0.5200          -2.8110      310.6  
0.5400          -2.6455      273.1  
0.5600          -2.4404      230.3  
0.5800          -2.5330      223.5  
0.6000          -2.4856      206.4  
0.6200          -2.7366      222.2  
0.6400          -2.8785      229.7  
0.6600          -2.6584      198.2  
0.6800          -2.9320      223.6  
0.7000          -2.7909      205.4  
0.7200          -2.6576      192.1  
0.7400          -2.6030      187.4  
0.7600          -2.6950      203.1  
0.7800          -2.5565      196.6  
0.8000          -2.4758      198.1  
0.8200          -2.5714      224.1  
0.8400          -2.5408      239.5  
0.8600          -2.5316      257.7  
0.8800          -2.4613      273.3  
0.9000          -2.3548      284.9  
0.9200          -2.6411      342.6  
0.9400          -2.2188      321.8  
0.9600          -2.3904      367.8  
0.9800          -1.9349      336.1  
1.0000          -1.9244      352.8  
1.0200          -2.0075      379.0  
1.0400          -1.4278      330.8  
1.0600          -1.6125      371.7  
1.0800          -1.5311      384.3  
1.1000          -1.5531      407.5  
1.1200          -2.0949      487.4  
1.1400          -2.2048      512.9  
1.1600          -2.2290      503.2  
1.1800          -1.9723      441.3  
1.2000          -2.2944      437.1  
1.2200          -2.5291      412.3  
1.2400          -2.4748      347.2  
1.2600          -2.1812      265.2  
1.2800          -2.5517      264.1  
1.3000          -2.7117      242.1  
1.3200          -2.7438      211.0  
1.3400          -2.7943      187.3  
1.3600          -2.9530      179.7  
1.3800          -3.0400      168.8  
1.4000          -3.0961      159.1  
1.4200          -3.2445      162.3  
1.4400          -3.2494      153.8  
1.4600          -3.5120      175.4  
1.4800          -3.6446      185.1  
1.5000          -3.7424      193.3  
1.5200          -3.7661      196.0  
1.5400          -3.6908      189.2  
1.5600          -3.7366      199.0  
1.5800          -3.7426      207.7  
1.6000          -3.7379      216.9  
1.6200          -3.6202      215.2  
1.6400          -3.5419      221.9  
1.6600          -3.5565      240.7  
1.6800          -3.2339      222.1  
1.7000          -3.0836      227.4  
1.7200          -3.1392      258.6  
1.7400          -3.2090      293.9  
1.7600          -3.1092      316.1  
1.7800          -2.8695      319.1  
1.8000          -2.7021      329.2  
1.8200          -2.6133      350.4  
1.8400          -2.4777      363.0  
1.8600          -2.4924      389.5  
1.8800          -2.3440      394.9  
1.9000          -2.1456      388.3  
1.9200          -2.0543      387.6  
1.9400          -2.4392      435.0  
1.9600          -2.4723      434.6  
1.9800          -2.2082      395.0  
2.0000          -2.7446      438.3  
2.0200          -2.9054      432.0  
2.0400          -2.1945      332.8  
2.0600          -2.2119      322.1  
2.0800          -2.2825      320.0  
2.1000          -2.2026      300.4  
2.1200          -2.0364      274.0  
2.1400          -2.3025      293.5  
2.1600          -2.7305      324.3  
2.1800          -2.7640      307.7  
2.2000          -2.7118      279.9  
2.2200          -3.0029      289.5  
2.2400          -3.2549      290.2  
2.2600          -2.9438      230.8  
2.2800          -2.9771      214.9  
2.3000          -3.2991      232.9  
2.3200          -3.3091      216.3  
2.3400          -3.0699      175.7  
2.3600          -3.2531      187.1  
2.3800          -3.3116      185.9  
2.4000          -3.1530      162.9  
2.4200          -3.2700      174.5  
2.4400          -3.3281      182.0  
2.4600          -3.4517      199.9  
2.4800          -3.4175      202.5  
2.5000          -3.5938      231.7  
2.5200          -3.5247      235.0  
2.5400          -3.2279      214.7  
2.5600          -3.0395      207.3  
2.5800          -3.1783      239.9  
2.6000          -3.0538      246.8  
2.6200          -2.9069      250.4  
2.6400          -2.8092      262.5  
2.6600          -2.9100      300.9  
2.6800          -2.8501      324.1  
2.7000          -2.5561      318.7  
2.7200          -2.3220      319.1  
2.7400          -2.4672      364.3  
2.7600          -2.8013      429.0  
2.7800          -2.6460      434.6  
2.8000          -2.4862      432.1  
2.8200          -2.6959      459.8  
2.8400          -2.0696      385.2  
2.8600          -2.1734      390.4  
2.8800          -2.3748      396.5  
2.9000          -2.3222      370.2  
2.9200          -2.8022      401.3  
