You need to install the group's fork of aRMSD and put it in your path https://github.mit.edu/MLMat/aRMSD
[  0.        +8.76957515e+02j   0.        +9.93130466e+00j
   0.        +2.25122583e+00j   0.        +7.12171258e-01j
   0.        +4.73520629e-01j   0.        +1.37242813e-01j
   3.55419432+0.00000000e+00j   4.89417214+0.00000000e+00j
  14.93860023+0.00000000e+00j  18.77751978+0.00000000e+00j
  22.33907063+0.00000000e+00j  35.95101934+0.00000000e+00j
  51.79132458+0.00000000e+00j  59.04307659+0.00000000e+00j
  64.91916625+0.00000000e+00j  79.72211171+0.00000000e+00j
  85.11959851+0.00000000e+00j 105.34512823+0.00000000e+00j
 113.45955781+0.00000000e+00j 117.63564109+0.00000000e+00j]
Entropy components at T = 298.15 K and P = 101325.0 Pa:
=================================================
                           S               T*S
S_trans (1 bar)    0.0019060 eV/K        0.568 eV
S_rot              0.0016331 eV/K        0.487 eV
S_elec             0.0000000 eV/K        0.000 eV
S_vib              0.0053691 eV/K        1.601 eV
S (1 bar -> P)    -0.0000011 eV/K       -0.000 eV
-------------------------------------------------
S                  0.0089070 eV/K        2.656 eV
=================================================
Enthalpy components at T = 298.15 K:
===============================
E_pot                  0.467 eV
E_ZPE                 16.228 eV
Cv_trans (0->T)        0.039 eV
Cv_rot (0->T)          0.039 eV
Cv_vib (0->T)          0.742 eV
(C_v -> C_p)           0.026 eV
-------------------------------
H                     17.540 eV
===============================
RMS: 0.017705291509628296, MAX: 0.7010402083396912
RMS: 0.010115417651832104, MAX: 0.38096490502357483
RMS: 0.003626344259828329, MAX: 0.06260483711957932
RMS: 0.005230202805250883, MAX: 0.16227972507476807
RMS: 0.004858789034187794, MAX: 0.14372378587722778
RMS: 0.00513335270807147, MAX: 0.11592482775449753
RMS: 0.005700941663235426, MAX: 0.08972389250993729
RMS: 0.006130795460194349, MAX: 0.07872733473777771
RMS: 0.006382138933986425, MAX: 0.08510562032461166
RMS: 0.006397290620952845, MAX: 0.08744222670793533
RMS: 0.006040687672793865, MAX: 0.07924594730138779
RMS: 0.0053834570571780205, MAX: 0.06209266558289528
RMS: 0.004792535677552223, MAX: 0.03903928026556969
RMS: 0.004574401304125786, MAX: 0.02713177353143692
RMS: 0.005044261459261179, MAX: 0.028534403070807457
RMS: 0.005072671454399824, MAX: 0.03976212814450264
RMS: 0.006957617122679949, MAX: 0.051404956728219986
RMS: 0.005395886953920126, MAX: 0.052433256059885025
RMS: 0.005871275439858437, MAX: 0.05520593747496605
RMS: 0.004429767373949289, MAX: 0.04962741211056709
RMS: 0.00551094813272357, MAX: 0.0367514006793499
RMS: 0.006279346998780966, MAX: 0.06104541942477226
RMS: 0.007722700480371714, MAX: 0.0919279083609581
RMS: 0.005287986248731613, MAX: 0.029471082612872124
RMS: 0.00418114336207509, MAX: 0.020860185846686363
RMS: 0.004279745277017355, MAX: 0.027889957651495934
RMS: 0.003688744269311428, MAX: 0.024149926379323006
RMS: 0.0029679082799702883, MAX: 0.015800772234797478
RMS: 0.0031183555256575346, MAX: 0.016190286725759506
RMS: 0.0026498273946344852, MAX: 0.013880033046007156
RMS: 0.003297860035672784, MAX: 0.01356197614222765
RMS: 0.002442427910864353, MAX: 0.012434236705303192
RMS: 0.003057571593672037, MAX: 0.012643367983400822
RMS: 0.0020141019485890865, MAX: 0.01103140227496624
RMS: 0.002926400862634182, MAX: 0.011370140127837658
RMS: 0.0019538388587534428, MAX: 0.0110043715685606
RMS: 0.0029323911294341087, MAX: 0.017065340653061867
RMS: 0.001926433527842164, MAX: 0.01835811324417591
RMS: 0.0028716614469885826, MAX: 0.019564460963010788
RMS: 0.002037452068179846, MAX: 0.01710440218448639
RMS: 0.002926535438746214, MAX: 0.028142649680376053
RMS: 0.0047672404907643795, MAX: 0.06660506129264832
RMS: 0.004652025643736124, MAX: 0.06731913983821869
RMS: 0.008784494362771511, MAX: 0.13085845112800598
RMS: 0.0061509860679507256, MAX: 0.04417809471487999
RMS: 0.009923283010721207, MAX: 0.08275198191404343
RMS: 0.006236476823687553, MAX: 0.02460547722876072
RMS: 0.007991604506969452, MAX: 0.08866064995527267
RMS: 0.006597258150577545, MAX: 0.026838041841983795
RMS: 0.004945809952914715, MAX: 0.025541258975863457
RMS: 0.0037525929510593414, MAX: 0.017414521425962448
RMS: 0.004634049255400896, MAX: 0.025109756737947464
RMS: 0.004134806804358959, MAX: 0.022461123764514923
RMS: 0.006411263253539801, MAX: 0.028199758380651474
RMS: 0.0021295701153576374, MAX: 0.014520697295665741
RMS: 0.004595304373651743, MAX: 0.01871839538216591
RMS: 0.004387348424643278, MAX: 0.035477541387081146
RMS: 0.006549759302288294, MAX: 0.041413333266973495
RMS: 0.0064397044479846954, MAX: 0.05464288964867592
RMS: 0.0030750869773328304, MAX: 0.01352099608629942
RMS: 0.005702355410903692, MAX: 0.04667162895202637
RMS: 0.0025603307876735926, MAX: 0.02000272646546364
RMS: 0.0016955038299784064, MAX: 0.011292429640889168
RMS: 0.005336122587323189, MAX: 0.05281434580683708
RMS: 0.00801210105419159, MAX: 0.07410095632076263
RMS: 0.008397390134632587, MAX: 0.0869203433394432
RMS: 0.009633036330342293, MAX: 0.09135465323925018
RMS: 0.006720397155731916, MAX: 0.0653381273150444
RMS: 0.0025925091467797756, MAX: 0.028683248907327652
RMS: 0.003363355528563261, MAX: 0.037032097578048706
RMS: 0.006079772487282753, MAX: 0.056782618165016174
RMS: 0.001700506079941988, MAX: 0.010129017755389214
RMS: 0.005310645792633295, MAX: 0.0332595519721508
RMS: 0.0031891674734652042, MAX: 0.01713651791214943
RMS: 0.005280406214296818, MAX: 0.04130134359002113
RMS: 0.005025927908718586, MAX: 0.04037303104996681
RMS: 0.0027812558691948652, MAX: 0.01393815316259861
RMS: 0.005254498682916164, MAX: 0.03639509156346321
RMS: 0.005252116359770298, MAX: 0.031856436282396317
RMS: 0.0032273652032017708, MAX: 0.02197203040122986
RMS: 0.005458260886371136, MAX: 0.03900497406721115
RMS: 0.006579184904694557, MAX: 0.053843904286623
RMS: 0.0032954965718090534, MAX: 0.022036992013454437
RMS: 0.006526856683194637, MAX: 0.0632304921746254
RMS: 0.010731561109423637, MAX: 0.09797593206167221
RMS: 0.0027848300524055958, MAX: 0.01556036900728941
RMS: 0.0037527671083807945, MAX: 0.02080214023590088
RMS: 0.004487508907914162, MAX: 0.04527108371257782
RMS: 0.006969439797103405, MAX: 0.07325311005115509
RMS: 0.006525787059217691, MAX: 0.05163160338997841
RMS: 0.0041888109408319, MAX: 0.026585664600133896
RMS: 0.007513479795306921, MAX: 0.027195340022444725
RMS: 0.004687785636633635, MAX: 0.04068766534328461
RMS: 0.008461197838187218, MAX: 0.040954891592264175
RMS: 0.0059666321612894535, MAX: 0.03951551392674446
RMS: 0.007297556847333908, MAX: 0.04360763356089592
RMS: 0.004506520926952362, MAX: 0.018002985045313835
RMS: 0.005704121198505163, MAX: 0.055866602808237076
RMS: 0.0016158160287886858, MAX: 0.010227068327367306
RMS: 0.005834030918776989, MAX: 0.04953760653734207
RMS: 0.0018809187458828092, MAX: 0.008784070611000061
RMS: 0.005861327517777681, MAX: 0.06040526181459427
RMS: 0.002095044357702136, MAX: 0.019099190831184387
RMS: 0.006649636197835207, MAX: 0.05340632051229477
RMS: 0.0029317098669707775, MAX: 0.03669499233365059
RMS: 0.007517876103520393, MAX: 0.05577978864312172
RMS: 0.014595244079828262, MAX: 0.11407862603664398
RMS: 0.0054093291983008385, MAX: 0.05043969675898552
RMS: 0.013185246847569942, MAX: 0.1414625197649002
RMS: 0.006348925177007914, MAX: 0.08296655863523483
RMS: 0.009392080828547478, MAX: 0.11832643300294876
RMS: 0.006276476196944714, MAX: 0.09568691998720169
RMS: 0.009782960638403893, MAX: 0.1537056565284729
RMS: 0.007429757621139288, MAX: 0.12776407599449158
RMS: 0.011307320557534695, MAX: 0.18396812677383423
RMS: 0.006797817535698414, MAX: 0.07326686382293701
RMS: 0.011429524049162865, MAX: 0.2011655867099762
RMS: 0.007577583193778992, MAX: 0.10936227440834045
RMS: 0.012471212074160576, MAX: 0.1749396175146103
RMS: 0.006667455192655325, MAX: 0.04241536930203438
RMS: 0.01238326821476221, MAX: 0.1562023162841797
RMS: 0.006180335767567158, MAX: 0.054064761847257614
RMS: 0.0073759229853749275, MAX: 0.07019173353910446
RMS: 0.0047000921331346035, MAX: 0.021913718432188034
RMS: 0.00728053692728281, MAX: 0.07788745313882828
RMS: 0.0053061372600495815, MAX: 0.05820642039179802
RMS: 0.005072879139333963, MAX: 0.04669876769185066
RMS: 0.004453148692846298, MAX: 0.04617013782262802
RMS: 0.009996211156249046, MAX: 0.10077515244483948
RMS: 0.006979069206863642, MAX: 0.04676608368754387
RMS: 0.011397837661206722, MAX: 0.11367027461528778
RMS: 0.008655543439090252, MAX: 0.07506666332483292
RMS: 0.011810815893113613, MAX: 0.10883980244398117
RMS: 0.00398902827873826, MAX: 0.02597099542617798
RMS: 0.011347775347530842, MAX: 0.10015255957841873
RMS: 0.004417028743773699, MAX: 0.043670494109392166
RMS: 0.006498544476926327, MAX: 0.07209323346614838
RMS: 0.007420381996780634, MAX: 0.058506548404693604
RMS: 0.008541661314666271, MAX: 0.09620058536529541
RMS: 0.008932533673942089, MAX: 0.08283413201570511
RMS: 0.0069967773742973804, MAX: 0.05049046128988266
RMS: 0.008499483577907085, MAX: 0.06666392087936401
RMS: 0.005766957066953182, MAX: 0.032232616096735
RMS: 0.0023820926435291767, MAX: 0.018738284707069397
RMS: 0.00304408255033195, MAX: 0.017440222203731537
RMS: 0.0031995673198252916, MAX: 0.02134796418249607
RMS: 0.0035372739657759666, MAX: 0.022760022431612015
RMS: 0.0017255466664209962, MAX: 0.008598306216299534
RMS: 0.00279899500310421, MAX: 0.017846137285232544
RMS: 0.00516756484284997, MAX: 0.028170546516776085
RMS: 0.008356903679668903, MAX: 0.03936494141817093
RMS: 0.006902990397065878, MAX: 0.03846759349107742
RMS: 0.008869394659996033, MAX: 0.04552622511982918
RMS: 0.010632360354065895, MAX: 0.049507007002830505
RMS: 0.003194095566868782, MAX: 0.02318471670150757
RMS: 0.010058986023068428, MAX: 0.05249571427702904
RMS: 0.004364133346825838, MAX: 0.019237732514739037
RMS: 0.0038497508503496647, MAX: 0.01736917905509472
RMS: 0.005867001600563526, MAX: 0.039640191942453384
RMS: 0.005288668908178806, MAX: 0.030570732429623604
RMS: 0.006278143264353275, MAX: 0.04223041981458664
RMS: 0.010135254822671413, MAX: 0.07986569404602051
RMS: 0.005686772521585226, MAX: 0.052194759249687195
RMS: 0.010866168886423111, MAX: 0.09035983681678772
RMS: 0.007004297338426113, MAX: 0.06061779707670212
RMS: 0.010241801850497723, MAX: 0.09230969101190567
RMS: 0.005343802273273468, MAX: 0.02722201682627201
RMS: 0.010303935967385769, MAX: 0.10321277379989624
RMS: 0.005665232893079519, MAX: 0.042025987058877945
RMS: 0.007969551719725132, MAX: 0.07774806022644043
RMS: 0.0061882915906608105, MAX: 0.035090167075395584
RMS: 0.009487859904766083, MAX: 0.08633679896593094
RMS: 0.00739898718893528, MAX: 0.049332451075315475
RMS: 0.011405865661799908, MAX: 0.08259984850883484
RMS: 0.004523521289229393, MAX: 0.03245767578482628
RMS: 0.011715349741280079, MAX: 0.07479476183652878
RMS: 0.005098838824778795, MAX: 0.03985338285565376
RMS: 0.008487255312502384, MAX: 0.055980660021305084
RMS: 0.006006312090903521, MAX: 0.0360238216817379
RMS: 0.00913782324641943, MAX: 0.06402423232793808
RMS: 0.006451840978115797, MAX: 0.04434099793434143
RMS: 0.009648148901760578, MAX: 0.06991671025753021
RMS: 0.005811886861920357, MAX: 0.033449944108724594
RMS: 0.010366163216531277, MAX: 0.08108405768871307
RMS: 0.006701117381453514, MAX: 0.04945610091090202
RMS: 0.010275987908244133, MAX: 0.08295098692178726
RMS: 0.0062284525483846664, MAX: 0.04404372721910477
RMS: 0.01086098700761795, MAX: 0.0927589014172554
RMS: 0.007065911311656237, MAX: 0.052607469260692596
RMS: 0.010640325956046581, MAX: 0.08726409822702408
RMS: 0.008936344645917416, MAX: 0.07315656542778015
RMS: 0.012335123494267464, MAX: 0.10359525680541992
RMS: 0.010679954662919044, MAX: 0.09016896039247513
RMS: 0.013614808209240437, MAX: 0.1209559291601181
RMS: 0.0039953612722456455, MAX: 0.031032191589474678
RMS: 0.013610721565783024, MAX: 0.12181267887353897
RMS: 0.0057862428948283195, MAX: 0.03969694674015045
RMS: 0.008971777744591236, MAX: 0.07385265827178955
RMS: 0.004376634024083614, MAX: 0.030533304437994957
RMS: 0.00962755735963583, MAX: 0.07656317949295044
RMS: 0.005448807496577501, MAX: 0.039480578154325485
RMS: 0.009867769666016102, MAX: 0.06568863242864609
RMS: 0.003139548934996128, MAX: 0.022766631096601486
RMS: 0.01029343530535698, MAX: 0.06523370742797852
RMS: 0.004738615360110998, MAX: 0.02564372308552265
RMS: 0.00800537783652544, MAX: 0.049448635429143906
RMS: 0.004776208661496639, MAX: 0.027816953137516975
RMS: 0.008776231668889523, MAX: 0.046791691333055496
RMS: 0.005633532535284758, MAX: 0.0379197932779789
RMS: 0.0080674197524786, MAX: 0.04862825945019722
RMS: 0.005405047908425331, MAX: 0.02390436828136444
RMS: 0.009040972217917442, MAX: 0.05115870013833046
RMS: 0.007125230971723795, MAX: 0.03449772670865059
RMS: 0.006872618570923805, MAX: 0.035697903484106064
RMS: 0.0038331332616508007, MAX: 0.030993176624178886
RMS: 0.006930327042937279, MAX: 0.034325603395700455
RMS: 0.0044066463597118855, MAX: 0.027318157255649567
RMS: 0.005449550226330757, MAX: 0.03431997075676918
RMS: 0.005884634330868721, MAX: 0.04218258336186409
RMS: 0.006840699817985296, MAX: 0.0478704497218132
RMS: 0.0076658474281430244, MAX: 0.054546453058719635
RMS: 0.003558916272595525, MAX: 0.025129327550530434
RMS: 0.0030622445046901703, MAX: 0.024244332686066628
RMS: 0.003978482447564602, MAX: 0.02968924678862095
RMS: 0.004023958463221788, MAX: 0.03168138861656189
RMS: 0.0022459183819592, MAX: 0.016015708446502686
RMS: 0.002520160749554634, MAX: 0.016367074102163315
RMS: 0.002905316650867462, MAX: 0.018599869683384895
RMS: 0.005451563745737076, MAX: 0.03628363460302353
RMS: 0.002131700748577714, MAX: 0.010017018765211105
RMS: 0.00541418232023716, MAX: 0.035980500280857086
RMS: 0.009410844184458256, MAX: 0.061215296387672424
RMS: 0.005505373235791922, MAX: 0.04659868776798248
RMS: 0.010451656766235828, MAX: 0.07594754546880722
RMS: 0.007826979272067547, MAX: 0.061321064829826355
RMS: 0.008149299770593643, MAX: 0.06512179970741272
RMS: 0.0036293768789619207, MAX: 0.02848065458238125
RMS: 0.008030116558074951, MAX: 0.08077582716941833
RMS: 0.0029463665559887886, MAX: 0.03149033710360527
RMS: 0.0037003864999860525, MAX: 0.03605761379003525
RMS: 0.004037630744278431, MAX: 0.03224631026387215
RMS: 0.004356407094746828, MAX: 0.045654479414224625
RMS: 0.006654714234173298, MAX: 0.059427812695503235
RMS: 0.004966726992279291, MAX: 0.03472619503736496
RMS: 0.005224223248660564, MAX: 0.045271750539541245
RMS: 0.0012534073321148753, MAX: 0.007909144274890423
RMS: 0.0013646659208461642, MAX: 0.009423692710697651
RMS: 0.0025092139840126038, MAX: 0.017993800342082977
RMS: 0.0018001127755269408, MAX: 0.013249746523797512
RMS: 0.0029080810490995646, MAX: 0.022621246054768562
RMS: 0.006814915221184492, MAX: 0.0606464184820652
RMS: 0.004976356867700815, MAX: 0.04491085931658745
RMS: 0.00831120926886797, MAX: 0.07329855114221573
RMS: 0.007373414933681488, MAX: 0.045142944902181625
RMS: 0.003540054662153125, MAX: 0.03427264839410782
RMS: 0.00161351275164634, MAX: 0.012250431813299656
RMS: 0.0024783650878816843, MAX: 0.016549866646528244
RMS: 0.003734184894710779, MAX: 0.02796350046992302
RMS: 0.0035131657496094704, MAX: 0.028235282748937607
RMS: 0.005410530138760805, MAX: 0.04251815006136894
RMS: 0.0039494093507528305, MAX: 0.024652542546391487
RMS: 0.003793499432504177, MAX: 0.03189269080758095
RMS: 0.0012288670986890793, MAX: 0.012154637835919857
RMS: 0.0013967972481623292, MAX: 0.01532561331987381
RMS: 0.0014133160002529621, MAX: 0.016577091068029404
RMS: 0.0017755297012627125, MAX: 0.02129552885890007
RMS: 0.0018955570412799716, MAX: 0.02199161797761917
RMS: 0.002919876016676426, MAX: 0.03313937783241272
RMS: 0.0027930368669331074, MAX: 0.03285355493426323
RMS: 0.003894758876413107, MAX: 0.045191965997219086
RMS: 0.002258244203403592, MAX: 0.025942206382751465
RMS: 0.0013022299390286207, MAX: 0.011435232125222683
RMS: 0.0004023234941996634, MAX: 0.0017779282061383128
Optimization converged!
Eigenvector following terminated normally.
[  0.        +7.19323254e+02j   0.        +1.06137145e+00j
   0.        +9.20326263e-01j   0.        +6.46492739e-01j
   0.        +5.02191185e-01j   0.24406298+0.00000000e+00j
   1.38604461+0.00000000e+00j   7.73830828+0.00000000e+00j
  15.12118937+0.00000000e+00j  19.96240427+0.00000000e+00j
  23.16547639+0.00000000e+00j  43.26102505+0.00000000e+00j
  49.87229435+0.00000000e+00j  60.04754933+0.00000000e+00j
  67.62931654+0.00000000e+00j  81.7737875 +0.00000000e+00j
  91.9792732 +0.00000000e+00j 104.69604564+0.00000000e+00j
 113.94650639+0.00000000e+00j 118.9595701 +0.00000000e+00j]
Flipping all imaginary frequencies except the lowest one
Entropy components at T = 298.15 K and P = 101325.0 Pa:
=================================================
                           S               T*S
S_trans (1 bar)    0.0019060 eV/K        0.568 eV
S_rot              0.0016307 eV/K        0.486 eV
S_elec             0.0000000 eV/K        0.000 eV
S_vib              0.0051953 eV/K        1.549 eV
S (1 bar -> P)    -0.0000011 eV/K       -0.000 eV
-------------------------------------------------
S                  0.0087309 eV/K        2.603 eV
=================================================
Enthalpy components at T = 298.15 K:
===============================
E_pot                  0.427 eV
E_ZPE                 16.237 eV
Cv_trans (0->T)        0.039 eV
Cv_rot (0->T)          0.039 eV
Cv_vib (0->T)          0.738 eV
(C_v -> C_p)           0.026 eV
-------------------------------
H                     17.504 eV
===============================
