Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 13:13:23       -1.753485        5.2143
BFGS:    1 13:13:23       -2.528740        6.2442
BFGS:    2 13:13:23       -3.076595        2.3693
BFGS:    3 13:13:23       -3.234305        0.9167
BFGS:    4 13:13:23       -3.331081        0.5491
BFGS:    5 13:13:24       -3.407897        0.9531
BFGS:    6 13:13:24       -3.437464        0.9409
BFGS:    7 13:13:24       -3.461058        0.2822
BFGS:    8 13:13:24       -3.484653        0.3729
BFGS:    9 13:13:25       -3.500418        0.3107
BFGS:   10 13:13:25       -3.518616        0.1967
BFGS:   11 13:13:25       -3.529744        0.2297
BFGS:   12 13:13:25       -3.541597        0.2329
BFGS:   13 13:13:25       -3.550968        0.2486
BFGS:   14 13:13:26       -3.558549        0.2501
BFGS:   15 13:13:26       -3.565154        0.2292
BFGS:   16 13:13:26       -3.572458        0.1654
BFGS:   17 13:13:26       -3.580582        0.1372
BFGS:   18 13:13:26       -3.587232        0.1570
BFGS:   19 13:13:26       -3.593487        0.1173
BFGS:   20 13:13:26       -3.598980        0.1329
BFGS:   21 13:13:26       -3.603461        0.1166
BFGS:   22 13:13:27       -3.607187        0.0984
BFGS:   23 13:13:27       -3.611231        0.1030
BFGS:   24 13:13:27       -3.615933        0.1203
BFGS:   25 13:13:27       -3.620248        0.1168
BFGS:   26 13:13:27       -3.623485        0.0827
BFGS:   27 13:13:28       -3.626078        0.0953
BFGS:   28 13:13:28       -3.628698        0.0942
BFGS:   29 13:13:29       -3.631646        0.1091
BFGS:   30 13:13:29       -3.634413        0.0922
BFGS:   31 13:13:29       -3.637010        0.0876
BFGS:   32 13:13:29       -3.639513        0.0929
BFGS:   33 13:13:30       -3.641941        0.0868
BFGS:   34 13:13:30       -3.644120        0.0759
BFGS:   35 13:13:30       -3.646302        0.0678
BFGS:   36 13:13:30       -3.648789        0.0753
BFGS:   37 13:13:30       -3.651537        0.0901
BFGS:   38 13:13:30       -3.654193        0.1016
BFGS:   39 13:13:31       -3.656722        0.1006
BFGS:   40 13:13:31       -3.659488        0.0968
BFGS:   41 13:13:31       -3.662936        0.1046
BFGS:   42 13:13:31       -3.667120        0.1225
BFGS:   43 13:13:31       -3.671447        0.0953
BFGS:   44 13:13:31       -3.675475        0.0870
BFGS:   45 13:13:31       -3.679085        0.1178
BFGS:   46 13:13:32       -3.682058        0.1497
BFGS:   47 13:13:32       -3.685285        0.1024
BFGS:   48 13:13:32       -3.688541        0.0766
BFGS:   49 13:13:32       -3.691280        0.0692
BFGS:   50 13:13:32       -3.693689        0.0870
BFGS:   51 13:13:32       -3.695900        0.0911
BFGS:   52 13:13:33       -3.697985        0.0877
BFGS:   53 13:13:35       -3.700267        0.0748
BFGS:   54 13:13:36       -3.702657        0.0721
BFGS:   55 13:13:36       -3.704848        0.0729
BFGS:   56 13:13:37       -3.706772        0.0827
BFGS:   57 13:13:37       -3.708704        0.0700
BFGS:   58 13:13:38       -3.710899        0.0743
BFGS:   59 13:13:39       -3.713339        0.0914
BFGS:   60 13:13:40       -3.715860        0.0881
BFGS:   61 13:13:40       -3.718203        0.0746
BFGS:   62 13:13:41       -3.720486        0.0781
BFGS:   63 13:13:41       -3.722698        0.0654
BFGS:   64 13:13:41       -3.725082        0.0833
BFGS:   65 13:13:41       -3.727453        0.0704
BFGS:   66 13:13:42       -3.729808        0.0701
BFGS:   67 13:13:42       -3.731907        0.0753
BFGS:   68 13:13:42       -3.733860        0.0729
BFGS:   69 13:13:42       -3.735871        0.0653
BFGS:   70 13:13:42       -3.738201        0.0768
BFGS:   71 13:13:42       -3.740885        0.0848
BFGS:   72 13:13:43       -3.743822        0.0778
BFGS:   73 13:13:43       -3.746958        0.0775
BFGS:   74 13:13:43       -3.750208        0.0975
BFGS:   75 13:13:44       -3.752806        0.2111
BFGS:   76 13:13:46       -3.756723        0.1000
BFGS:   77 13:13:48       -3.760927        0.1137
BFGS:   78 13:13:48       -3.765535        0.1033
BFGS:   79 13:13:49       -3.769755        0.1242
BFGS:   80 13:13:50       -3.775249        0.1227
BFGS:   81 13:13:50       -3.780328        0.0999
BFGS:   82 13:13:51       -3.784832        0.0911
BFGS:   83 13:13:52       -3.787963        0.1397
BFGS:   84 13:13:52       -3.790953        0.1849
BFGS:   85 13:13:52       -3.794915        0.1026
BFGS:   86 13:13:52       -3.800520        0.0844
BFGS:   87 13:13:53       -3.803323        0.1108
BFGS:   88 13:13:53       -3.807299        0.1151
BFGS:   89 13:13:53       -3.810435        0.0821
BFGS:   90 13:13:53       -3.813553        0.0786
BFGS:   91 13:13:53       -3.816888        0.0852
BFGS:   92 13:13:53       -3.820489        0.1049
BFGS:   93 13:13:53       -3.823488        0.1153
BFGS:   94 13:13:53       -3.826741        0.0946
BFGS:   95 13:13:54       -3.830867        0.0737
BFGS:   96 13:13:54       -3.833784        0.0674
BFGS:   97 13:13:54       -3.836664        0.0650
BFGS:   98 13:13:54       -3.838908        0.0601
BFGS:   99 13:13:54       -3.840880        0.0626
BFGS:  100 13:13:54       -3.842529        0.0769
BFGS:  101 13:13:55       -3.844146        0.0530
BFGS:  102 13:13:58       -3.845895        0.0634
BFGS:  103 13:13:59       -3.847724        0.0664
BFGS:  104 13:14:00       -3.849351        0.0659
BFGS:  105 13:14:01       -3.850685        0.0679
BFGS:  106 13:14:01       -3.851764        0.0582
BFGS:  107 13:14:01       -3.852684        0.0500
Optimization complete!
Performing a relaxed scan over 20 steps...
      Step     Time          Energy         fmax
BFGS:    0 13:14:02       -3.534848        6.5914
BFGS:    1 13:14:02       -3.702243        4.4483
