Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 13:13:23       -1.753485        5.2143
BFGS:    1 13:13:23       -2.528740        6.2442
BFGS:    2 13:13:23       -3.076594        2.3693
BFGS:    3 13:13:23       -3.234306        0.9167
BFGS:    4 13:13:23       -3.331082        0.5491
BFGS:    5 13:13:23       -3.407898        0.9531
BFGS:    6 13:13:23       -3.437464        0.9410
BFGS:    7 13:13:24       -3.461056        0.2822
BFGS:    8 13:13:24       -3.484653        0.3729
BFGS:    9 13:13:24       -3.500417        0.3107
BFGS:   10 13:13:24       -3.518617        0.1961
BFGS:   11 13:13:24       -3.529745        0.2289
BFGS:   12 13:13:25       -3.541600        0.2329
BFGS:   13 13:13:25       -3.550976        0.2465
BFGS:   14 13:13:25       -3.558559        0.2500
BFGS:   15 13:13:26       -3.565162        0.2320
BFGS:   16 13:13:26       -3.572458        0.1657
BFGS:   17 13:13:26       -3.580584        0.1373
BFGS:   18 13:13:26       -3.587236        0.1580
BFGS:   19 13:13:26       -3.593486        0.1173
BFGS:   20 13:13:27       -3.598982        0.1329
BFGS:   21 13:13:27       -3.603463        0.1166
BFGS:   22 13:13:27       -3.607190        0.0984
BFGS:   23 13:13:27       -3.611233        0.1032
BFGS:   24 13:13:27       -3.615935        0.1203
BFGS:   25 13:13:28       -3.620250        0.1167
BFGS:   26 13:13:28       -3.623486        0.0826
BFGS:   27 13:13:28       -3.626081        0.0952
BFGS:   28 13:13:28       -3.628700        0.0942
BFGS:   29 13:13:28       -3.631650        0.1090
BFGS:   30 13:13:28       -3.634416        0.0921
BFGS:   31 13:13:28       -3.637011        0.0876
BFGS:   32 13:13:28       -3.639513        0.0930
BFGS:   33 13:13:29       -3.641942        0.0868
BFGS:   34 13:13:29       -3.644120        0.0759
BFGS:   35 13:13:29       -3.646302        0.0678
BFGS:   36 13:13:29       -3.648790        0.0754
BFGS:   37 13:13:29       -3.651538        0.0901
BFGS:   38 13:13:29       -3.654193        0.1016
BFGS:   39 13:13:29       -3.656724        0.1006
BFGS:   40 13:13:30       -3.659492        0.0968
BFGS:   41 13:13:30       -3.662936        0.1046
BFGS:   42 13:13:30       -3.667121        0.1225
BFGS:   43 13:13:30       -3.671449        0.0953
BFGS:   44 13:13:30       -3.675477        0.0869
BFGS:   45 13:13:30       -3.679083        0.1185
BFGS:   46 13:13:31       -3.682058        0.1486
BFGS:   47 13:13:31       -3.685286        0.1021
BFGS:   48 13:13:31       -3.688553        0.0759
BFGS:   49 13:13:31       -3.691284        0.0688
BFGS:   50 13:13:32       -3.693699        0.0868
BFGS:   51 13:13:32       -3.695906        0.0910
BFGS:   52 13:13:32       -3.697990        0.0878
BFGS:   53 13:13:32       -3.700271        0.0747
BFGS:   54 13:13:32       -3.702662        0.0719
BFGS:   55 13:13:36       -3.704852        0.0731
BFGS:   56 13:13:37       -3.706774        0.0826
BFGS:   57 13:13:39       -3.708709        0.0700
BFGS:   58 13:13:39       -3.710907        0.0743
BFGS:   59 13:13:41       -3.713346        0.0914
BFGS:   60 13:13:41       -3.715866        0.0879
BFGS:   61 13:13:41       -3.718204        0.0751
BFGS:   62 13:13:41       -3.720487        0.0779
BFGS:   63 13:13:42       -3.722703        0.0654
BFGS:   64 13:13:42       -3.725086        0.0829
BFGS:   65 13:13:42       -3.727460        0.0706
BFGS:   66 13:13:42       -3.729811        0.0700
BFGS:   67 13:13:42       -3.731906        0.0753
BFGS:   68 13:13:42       -3.733863        0.0729
BFGS:   69 13:13:43       -3.735873        0.0658
BFGS:   70 13:13:43       -3.738204        0.0767
BFGS:   71 13:13:43       -3.740888        0.0852
BFGS:   72 13:13:43       -3.743827        0.0773
BFGS:   73 13:13:45       -3.746969        0.0775
BFGS:   74 13:13:46       -3.750367        0.0846
BFGS:   75 13:13:47       -3.753573        0.1738
BFGS:   76 13:13:47       -3.756208        0.1542
BFGS:   77 13:13:48       -3.760369        0.1075
BFGS:   78 13:13:48       -3.765351        0.0905
BFGS:   79 13:13:48       -3.769674        0.1028
BFGS:   80 13:13:49       -3.775076        0.1392
BFGS:   81 13:13:50       -3.779506        0.1272
BFGS:   82 13:13:50       -3.784592        0.0962
BFGS:   83 13:13:51       -3.788024        0.1119
BFGS:   84 13:13:52       -3.791878        0.1303
BFGS:   85 13:13:52       -3.796098        0.1130
BFGS:   86 13:13:52       -3.800797        0.0983
BFGS:   87 13:13:52       -3.804245        0.1051
BFGS:   88 13:13:53       -3.807422        0.1061
BFGS:   89 13:13:53       -3.810595        0.0888
BFGS:   90 13:13:53       -3.813774        0.1060
BFGS:   91 13:13:53       -3.817003        0.1039
BFGS:   92 13:13:53       -3.820242        0.1058
BFGS:   93 13:13:54       -3.824021        0.0868
BFGS:   94 13:13:54       -3.827386        0.0920
BFGS:   95 13:13:54       -3.830887        0.1006
BFGS:   96 13:13:54       -3.833938        0.0713
BFGS:   97 13:13:54       -3.836663        0.0706
BFGS:   98 13:13:55       -3.838965        0.0641
BFGS:   99 13:13:57       -3.840932        0.0692
BFGS:  100 13:13:58       -3.842610        0.0565
BFGS:  101 13:13:59       -3.844279        0.0706
BFGS:  102 13:14:00       -3.845909        0.0612
BFGS:  103 13:14:00       -3.847603        0.0823
BFGS:  104 13:14:01       -3.849268        0.0612
BFGS:  105 13:14:01       -3.850796        0.0544
BFGS:  106 13:14:01       -3.851835        0.0557
BFGS:  107 13:14:02       -3.852872        0.0467
Optimization complete!
Performing a relaxed scan over 20 steps...
      Step     Time          Energy         fmax
BFGS:    0 13:14:02       -3.758196        2.8243
BFGS:    1 13:14:02       -3.819000        2.9334
