Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 13:15:13       -1.753485        5.2143
BFGS:    1 13:15:14       -2.528740        6.2442
BFGS:    2 13:15:14       -3.076595        2.3693
BFGS:    3 13:15:14       -3.234305        0.9167
BFGS:    4 13:15:14       -3.331082        0.5491
BFGS:    5 13:15:14       -3.407897        0.9531
BFGS:    6 13:15:15       -3.437464        0.9409
BFGS:    7 13:15:15       -3.461056        0.2822
BFGS:    8 13:15:15       -3.484654        0.3729
BFGS:    9 13:15:15       -3.500418        0.3107
BFGS:   10 13:15:15       -3.518618        0.1964
BFGS:   11 13:15:15       -3.529745        0.2293
BFGS:   12 13:15:15       -3.541598        0.2329
BFGS:   13 13:15:15       -3.550970        0.2474
BFGS:   14 13:15:15       -3.558556        0.2500
BFGS:   15 13:15:16       -3.565159        0.2307
BFGS:   16 13:15:16       -3.572457        0.1655
BFGS:   17 13:15:16       -3.580582        0.1373
BFGS:   18 13:15:16       -3.587235        0.1574
BFGS:   19 13:15:16       -3.593487        0.1173
BFGS:   20 13:15:16       -3.598980        0.1329
BFGS:   21 13:15:16       -3.603462        0.1166
BFGS:   22 13:15:17       -3.607187        0.0984
BFGS:   23 13:15:17       -3.611232        0.1028
BFGS:   24 13:15:17       -3.615933        0.1203
BFGS:   25 13:15:17       -3.620249        0.1168
BFGS:   26 13:15:17       -3.623484        0.0826
BFGS:   27 13:15:17       -3.626080        0.0953
BFGS:   28 13:15:18       -3.628697        0.0942
BFGS:   29 13:15:18       -3.631647        0.1091
BFGS:   30 13:15:18       -3.634413        0.0921
BFGS:   31 13:15:18       -3.637008        0.0876
BFGS:   32 13:15:18       -3.639512        0.0929
BFGS:   33 13:15:18       -3.641941        0.0867
BFGS:   34 13:15:19       -3.644119        0.0759
BFGS:   35 13:15:19       -3.646302        0.0678
BFGS:   36 13:15:19       -3.648792        0.0753
BFGS:   37 13:15:19       -3.651538        0.0900
BFGS:   38 13:15:19       -3.654194        0.1016
BFGS:   39 13:15:19       -3.656724        0.1006
BFGS:   40 13:15:20       -3.659492        0.0968
BFGS:   41 13:15:20       -3.662937        0.1045
BFGS:   42 13:15:20       -3.667119        0.1225
BFGS:   43 13:15:20       -3.671447        0.0954
BFGS:   44 13:15:20       -3.675470        0.0872
BFGS:   45 13:15:20       -3.679061        0.1225
BFGS:   46 13:15:20       -3.682053        0.1438
BFGS:   47 13:15:20       -3.685283        0.1018
BFGS:   48 13:15:20       -3.688597        0.0722
BFGS:   49 13:15:21       -3.691256        0.0688
BFGS:   50 13:15:21       -3.693727        0.0873
BFGS:   51 13:15:21       -3.695909        0.0907
BFGS:   52 13:15:21       -3.697997        0.0877
BFGS:   53 13:15:21       -3.700283        0.0743
BFGS:   54 13:15:21       -3.702677        0.0717
BFGS:   55 13:15:21       -3.704860        0.0728
BFGS:   56 13:15:21       -3.706782        0.0826
BFGS:   57 13:15:21       -3.708718        0.0702
BFGS:   58 13:15:21       -3.710915        0.0746
BFGS:   59 13:15:21       -3.713350        0.0919
BFGS:   60 13:15:22       -3.715866        0.0884
BFGS:   61 13:15:22       -3.718212        0.0736
BFGS:   62 13:15:22       -3.720503        0.0776
BFGS:   63 13:15:22       -3.722715        0.0655
BFGS:   64 13:15:22       -3.725095        0.0832
BFGS:   65 13:15:22       -3.727475        0.0703
BFGS:   66 13:15:22       -3.729825        0.0700
BFGS:   67 13:15:22       -3.731918        0.0753
BFGS:   68 13:15:22       -3.733873        0.0729
BFGS:   69 13:15:22       -3.735889        0.0659
BFGS:   70 13:15:22       -3.738217        0.0765
BFGS:   71 13:15:22       -3.740901        0.0849
BFGS:   72 13:15:23       -3.743838        0.0792
BFGS:   73 13:15:23       -3.746968        0.0783
BFGS:   74 13:15:23       -3.750016        0.1098
BFGS:   75 13:15:23       -3.752836        0.1907
BFGS:   76 13:15:23       -3.756551        0.0897
BFGS:   77 13:15:23       -3.761883        0.1113
BFGS:   78 13:15:23       -3.765322        0.1086
BFGS:   79 13:15:23       -3.770792        0.1373
BFGS:   80 13:15:23       -3.775822        0.1052
BFGS:   81 13:15:23       -3.780601        0.1249
BFGS:   82 13:15:23       -3.784478        0.1019
BFGS:   83 13:15:24       -3.787935        0.1152
BFGS:   84 13:15:24       -3.791819        0.1029
BFGS:   85 13:15:24       -3.797127        0.0897
BFGS:   86 13:15:24       -3.800731        0.0927
BFGS:   87 13:15:24       -3.804819        0.1178
BFGS:   88 13:15:24       -3.807791        0.1031
BFGS:   89 13:15:24       -3.810900        0.0887
BFGS:   90 13:15:24       -3.814347        0.0931
BFGS:   91 13:15:24       -3.817712        0.1278
BFGS:   92 13:15:24       -3.819735        0.1115
BFGS:   93 13:15:24       -3.823217        0.0872
BFGS:   94 13:15:24       -3.827046        0.0945
BFGS:   95 13:15:24       -3.830225        0.0865
BFGS:   96 13:15:25       -3.833712        0.0731
BFGS:   97 13:15:25       -3.836340        0.0676
BFGS:   98 13:15:25       -3.838701        0.0809
BFGS:   99 13:15:25       -3.840599        0.0656
BFGS:  100 13:15:25       -3.842339        0.0535
BFGS:  101 13:15:25       -3.844102        0.0496
Optimization complete!
Performing a relaxed scan over 20 steps...
      Step     Time          Energy         fmax
BFGS:    0 13:15:25       -3.566392        6.0840
BFGS:    1 13:15:25       -3.732773        4.0923
BFGS:    2 13:15:25       -3.810742        2.8062
BFGS:    3 13:15:26       -3.726062        5.5359
BFGS:    4 13:15:26       -3.823468        0.3517
BFGS:    5 13:15:26       -3.826385        0.1820
BFGS:    6 13:15:26       -3.829268        0.2377
BFGS:    7 13:15:26       -3.829702        0.1412
BFGS:    8 13:15:26       -3.830368        0.1189
BFGS:    9 13:15:26       -3.832015        0.1170
BFGS:   10 13:15:26       -3.834438        0.0940
BFGS:   11 13:15:26       -3.835778        0.0813
BFGS:   12 13:15:27       -3.837546        0.0953
BFGS:   13 13:15:27       -3.838680        0.0999
BFGS:   14 13:15:27       -3.839523        0.1051
BFGS:   15 13:15:27       -3.840481        0.0553
BFGS:   16 13:15:27       -3.841713        0.0660
BFGS:   17 13:15:27       -3.842624        0.0685
BFGS:   18 13:15:27       -3.843426        0.0589
BFGS:   19 13:15:27       -3.844023        0.0809
BFGS:   20 13:15:27       -3.844536        0.0846
BFGS:   21 13:15:27       -3.845135        0.0630
BFGS:   22 13:15:27       -3.845924        0.0579
BFGS:   23 13:15:28       -3.846891        0.0464
      Step     Time          Energy         fmax
BFGS:    0 13:15:28       -3.461795        7.2919
BFGS:    1 13:15:28       -3.693415        5.0447
BFGS:    2 13:15:28       -3.790452        4.0332
BFGS:    3 13:15:28       -3.631717        6.3592
BFGS:    4 13:15:28       -3.812027        0.3169
BFGS:    5 13:15:28       -3.814062        0.2133
BFGS:    6 13:15:28       -3.815933        0.2377
BFGS:    7 13:15:28       -3.815398        0.1616
BFGS:    8 13:15:29       -3.815781        0.1236
BFGS:    9 13:15:29       -3.816779        0.1130
BFGS:   10 13:15:29       -3.817812        0.0576
BFGS:   11 13:15:29       -3.818367        0.0498
      Step     Time          Energy         fmax
BFGS:    0 13:15:29       -3.236988        9.1820
BFGS:    1 13:15:29       -3.578993        6.5530
BFGS:    2 13:15:29       -3.716282        5.7779
BFGS:    3 13:15:29       -3.424578        7.3429
BFGS:    4 13:15:29       -3.759325        0.5349
BFGS:    5 13:15:29       -3.760706        0.3256
BFGS:    6 13:15:29       -3.762208        0.2664
BFGS:    7 13:15:29       -3.762019        0.1344
BFGS:    8 13:15:29       -3.761738        0.1663
BFGS:    9 13:15:29       -3.762337        0.1031
BFGS:   10 13:15:30       -3.762980        0.1004
BFGS:   11 13:15:30       -3.764585        0.1052
BFGS:   12 13:15:30       -3.766334        0.1015
BFGS:   13 13:15:30       -3.768586        0.1186
BFGS:   14 13:15:30       -3.770530        0.0942
BFGS:   15 13:15:30       -3.771600        0.0978
BFGS:   16 13:15:30       -3.772914        0.0702
BFGS:   17 13:15:30       -3.773760        0.0946
BFGS:   18 13:15:30       -3.774861        0.0919
BFGS:   19 13:15:30       -3.775910        0.1009
BFGS:   20 13:15:30       -3.777026        0.1096
BFGS:   21 13:15:31       -3.778464        0.0730
BFGS:   22 13:15:31       -3.780159        0.0960
BFGS:   23 13:15:31       -3.781933        0.0928
BFGS:   24 13:15:31       -3.783740        0.0770
BFGS:   25 13:15:31       -3.785431        0.0803
BFGS:   26 13:15:31       -3.787556        0.0865
BFGS:   27 13:15:31       -3.789536        0.0911
BFGS:   28 13:15:31       -3.791480        0.0854
BFGS:   29 13:15:31       -3.793114        0.0624
BFGS:   30 13:15:31       -3.794513        0.0758
BFGS:   31 13:15:32       -3.796055        0.0959
BFGS:   32 13:15:32       -3.797605        0.0925
BFGS:   33 13:15:32       -3.799145        0.0731
BFGS:   34 13:15:32       -3.800691        0.0544
BFGS:   35 13:15:32       -3.802088        0.0808
BFGS:   36 13:15:32       -3.803655        0.0675
BFGS:   37 13:15:32       -3.804784        0.0626
BFGS:   38 13:15:32       -3.805722        0.0430
      Step     Time          Energy         fmax
BFGS:    0 13:15:32       -3.226969        9.2252
BFGS:    1 13:15:32       -3.560525        6.9475
BFGS:    2 13:15:32       -3.682807        6.7357
BFGS:    3 13:15:32       -3.386295        6.8354
BFGS:    4 13:15:32       -3.748758        0.6511
BFGS:    5 13:15:33       -3.748928        0.2945
BFGS:    6 13:15:33       -3.750351        0.2612
BFGS:    7 13:15:33       -3.750882        0.1440
BFGS:    8 13:15:33       -3.750624        0.1531
BFGS:    9 13:15:33       -3.750953        0.0730
BFGS:   10 13:15:33       -3.751090        0.1112
BFGS:   11 13:15:33       -3.751959        0.1056
