Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 13:57:29       -1.405590        4.3616
BFGS:    1 13:57:29       -2.311588        5.1930
BFGS:    2 13:57:29       -2.717002        1.9103
BFGS:    3 13:57:29       -2.882295        1.1950
BFGS:    4 13:57:29       -3.018205        0.5016
BFGS:    5 13:57:30       -3.110218        0.7805
BFGS:    6 13:57:30       -3.162124        0.7553
BFGS:    7 13:57:30       -3.222569        0.5749
BFGS:    8 13:57:30       -3.259656        0.6757
BFGS:    9 13:57:30       -3.286945        0.3442
BFGS:   10 13:57:30       -3.312610        0.3149
BFGS:   11 13:57:30       -3.333348        0.3507
BFGS:   12 13:57:31       -3.354446        0.2871
BFGS:   13 13:57:31       -3.372904        0.2384
BFGS:   14 13:57:31       -3.388660        0.2502
BFGS:   15 13:57:31       -3.406181        0.2457
BFGS:   16 13:57:31       -3.427200        0.2301
BFGS:   17 13:57:31       -3.446044        0.2138
BFGS:   18 13:57:31       -3.461260        0.2408
BFGS:   19 13:57:32       -3.475838        0.2156
BFGS:   20 13:57:32       -3.490864        0.1841
BFGS:   21 13:57:32       -3.504936        0.1526
BFGS:   22 13:57:32       -3.517380        0.1916
BFGS:   23 13:57:32       -3.529382        0.2184
BFGS:   24 13:57:32       -3.542210        0.2235
BFGS:   25 13:57:33       -3.553563        0.1570
BFGS:   26 13:57:33       -3.562612        0.1245
BFGS:   27 13:57:33       -3.571087        0.1501
BFGS:   28 13:57:33       -3.580657        0.1948
BFGS:   29 13:57:33       -3.590950        0.1621
BFGS:   30 13:57:33       -3.599726        0.1846
BFGS:   31 13:57:33       -3.607951        0.1832
BFGS:   32 13:57:34       -3.617116        0.1575
BFGS:   33 13:57:34       -3.626960        0.1553
BFGS:   34 13:57:34       -3.635854        0.1427
BFGS:   35 13:57:34       -3.644061        0.1518
BFGS:   36 13:57:34       -3.651691        0.1620
BFGS:   37 13:57:34       -3.661166        0.1685
BFGS:   38 13:57:34       -3.672233        0.1465
BFGS:   39 13:57:35       -3.681640        0.1514
BFGS:   40 13:57:35       -3.690971        0.1540
BFGS:   41 13:57:35       -3.699909        0.1566
BFGS:   42 13:57:35       -3.707776        0.1693
BFGS:   43 13:57:35       -3.715740        0.1632
BFGS:   44 13:57:35       -3.723959        0.1993
BFGS:   45 13:57:35       -3.732664        0.1750
BFGS:   46 13:57:36       -3.741214        0.1612
BFGS:   47 13:57:36       -3.750543        0.1376
BFGS:   48 13:57:36       -3.759461        0.1377
BFGS:   49 13:57:36       -3.769476        0.1447
BFGS:   50 13:57:36       -3.779001        0.1732
BFGS:   51 13:57:36       -3.788253        0.1656
BFGS:   52 13:57:36       -3.795669        0.1874
BFGS:   53 13:57:37       -3.802335        0.1293
BFGS:   54 13:57:37       -3.808762        0.1086
BFGS:   55 13:57:37       -3.816470        0.1090
BFGS:   56 13:57:37       -3.821707        0.1172
BFGS:   57 13:57:37       -3.829275        0.1168
BFGS:   58 13:57:37       -3.834405        0.1210
BFGS:   59 13:57:37       -3.838546        0.1008
BFGS:   60 13:57:38       -3.842263        0.1109
BFGS:   61 13:57:38       -3.845954        0.1149
BFGS:   62 13:57:38       -3.849072        0.0943
BFGS:   63 13:57:38       -3.851654        0.0788
BFGS:   64 13:57:38       -3.853604        0.1006
BFGS:   65 13:57:38       -3.856174        0.1292
BFGS:   66 13:57:38       -3.858987        0.0770
BFGS:   67 13:57:39       -3.861610        0.0702
BFGS:   68 13:57:39       -3.863782        0.0729
BFGS:   69 13:57:39       -3.866476        0.0971
BFGS:   70 13:57:39       -3.869553        0.0913
BFGS:   71 13:57:39       -3.872599        0.0973
BFGS:   72 13:57:39       -3.875335        0.0994
BFGS:   73 13:57:39       -3.877950        0.0833
BFGS:   74 13:57:39       -3.880572        0.0919
BFGS:   75 13:57:40       -3.883337        0.0935
BFGS:   76 13:57:40       -3.886221        0.0921
BFGS:   77 13:57:40       -3.889133        0.1124
BFGS:   78 13:57:40       -3.891874        0.1044
BFGS:   79 13:57:40       -3.894405        0.0872
BFGS:   80 13:57:40       -3.896686        0.0852
BFGS:   81 13:57:41       -3.899062        0.0915
BFGS:   82 13:57:41       -3.901550        0.0833
BFGS:   83 13:57:41       -3.903982        0.0732
BFGS:   84 13:57:41       -3.906063        0.0864
BFGS:   85 13:57:41       -3.908103        0.0982
BFGS:   86 13:57:41       -3.910030        0.1059
BFGS:   87 13:57:41       -3.911832        0.0785
BFGS:   88 13:57:42       -3.913338        0.0668
