Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 13:59:09       -1.405589        4.3616
BFGS:    1 13:59:10       -2.311588        5.1930
BFGS:    2 13:59:10       -2.717003        1.9103
BFGS:    3 13:59:10       -2.882295        1.1950
BFGS:    4 13:59:10       -3.018206        0.5016
BFGS:    5 13:59:10       -3.110217        0.7805
BFGS:    6 13:59:10       -3.162124        0.7553
BFGS:    7 13:59:11       -3.222570        0.5749
BFGS:    8 13:59:11       -3.259657        0.6757
BFGS:    9 13:59:11       -3.286945        0.3442
BFGS:   10 13:59:11       -3.312611        0.3150
BFGS:   11 13:59:11       -3.333348        0.3508
BFGS:   12 13:59:11       -3.354444        0.2871
BFGS:   13 13:59:12       -3.372903        0.2384
BFGS:   14 13:59:12       -3.388661        0.2501
BFGS:   15 13:59:12       -3.406180        0.2457
BFGS:   16 13:59:12       -3.427202        0.2300
BFGS:   17 13:59:12       -3.446043        0.2138
BFGS:   18 13:59:12       -3.461262        0.2408
BFGS:   19 13:59:12       -3.475836        0.2156
BFGS:   20 13:59:12       -3.490865        0.1840
BFGS:   21 13:59:12       -3.504937        0.1525
BFGS:   22 13:59:12       -3.517380        0.1916
BFGS:   23 13:59:13       -3.529383        0.2184
BFGS:   24 13:59:13       -3.542209        0.2234
BFGS:   25 13:59:13       -3.553564        0.1569
BFGS:   26 13:59:13       -3.562613        0.1245
BFGS:   27 13:59:13       -3.571088        0.1502
BFGS:   28 13:59:13       -3.580657        0.1947
BFGS:   29 13:59:13       -3.590951        0.1621
BFGS:   30 13:59:13       -3.599726        0.1846
BFGS:   31 13:59:13       -3.607949        0.1832
BFGS:   32 13:59:13       -3.617117        0.1575
BFGS:   33 13:59:13       -3.626960        0.1554
BFGS:   34 13:59:14       -3.635856        0.1427
BFGS:   35 13:59:14       -3.644064        0.1518
BFGS:   36 13:59:14       -3.651692        0.1621
BFGS:   37 13:59:14       -3.661165        0.1686
BFGS:   38 13:59:14       -3.672231        0.1466
BFGS:   39 13:59:14       -3.681641        0.1515
BFGS:   40 13:59:14       -3.690970        0.1541
BFGS:   41 13:59:14       -3.699909        0.1566
BFGS:   42 13:59:14       -3.707776        0.1694
BFGS:   43 13:59:14       -3.715739        0.1632
BFGS:   44 13:59:14       -3.723962        0.1990
BFGS:   45 13:59:14       -3.732664        0.1751
BFGS:   46 13:59:14       -3.741210        0.1613
BFGS:   47 13:59:14       -3.750537        0.1377
BFGS:   48 13:59:14       -3.759463        0.1377
BFGS:   49 13:59:15       -3.769473        0.1446
BFGS:   50 13:59:15       -3.779001        0.1732
BFGS:   51 13:59:15       -3.788255        0.1656
BFGS:   52 13:59:15       -3.795679        0.1867
BFGS:   53 13:59:15       -3.802330        0.1294
BFGS:   54 13:59:15       -3.808761        0.1086
BFGS:   55 13:59:15       -3.816447        0.1086
BFGS:   56 13:59:15       -3.821701        0.1169
BFGS:   57 13:59:15       -3.829239        0.1169
BFGS:   58 13:59:15       -3.834384        0.1211
BFGS:   59 13:59:16       -3.838524        0.1010
BFGS:   60 13:59:16       -3.842236        0.1108
BFGS:   61 13:59:16       -3.845933        0.1128
BFGS:   62 13:59:16       -3.849056        0.0948
BFGS:   63 13:59:16       -3.851623        0.0783
BFGS:   64 13:59:16       -3.853572        0.1008
BFGS:   65 13:59:16       -3.856142        0.1249
BFGS:   66 13:59:17       -3.859050        0.0750
BFGS:   67 13:59:17       -3.861549        0.0718
BFGS:   68 13:59:17       -3.863801        0.0735
BFGS:   69 13:59:17       -3.866467        0.0959
BFGS:   70 13:59:17       -3.869522        0.0917
BFGS:   71 13:59:17       -3.872576        0.0975
BFGS:   72 13:59:17       -3.875324        0.0997
BFGS:   73 13:59:18       -3.877936        0.0836
BFGS:   74 13:59:18       -3.880548        0.0922
BFGS:   75 13:59:18       -3.883314        0.0942
BFGS:   76 13:59:18       -3.886194        0.0925
BFGS:   77 13:59:18       -3.889103        0.1123
BFGS:   78 13:59:19       -3.891813        0.1045
BFGS:   79 13:59:19       -3.894332        0.0895
