Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 13:57:29        1.530335        4.5065
BFGS:    1 13:57:29        0.353360        3.5127
BFGS:    2 13:57:29        0.093912        4.7611
BFGS:    3 13:57:29        0.040233        2.6377
BFGS:    4 13:57:29       -0.136046        1.4427
BFGS:    5 13:57:29       -0.251517        1.3574
BFGS:    6 13:57:29       -0.337989        3.6508
BFGS:    7 13:57:30       -0.388957        0.8520
BFGS:    8 13:57:30       -0.427532        0.8748
BFGS:    9 13:57:30       -0.479514        0.8039
BFGS:   10 13:57:30       -0.491987        2.8688
BFGS:   11 13:57:30       -0.530211        1.4897
BFGS:   12 13:57:30       -0.580353        2.1658
BFGS:   13 13:57:30       -0.585885        1.6432
BFGS:   14 13:57:30       -0.604820        1.3853
BFGS:   15 13:57:31       -0.590855        3.0794
BFGS:   16 13:57:31       -0.643292        1.4208
BFGS:   17 13:57:31       -0.644971        1.0108
BFGS:   18 13:57:31       -0.659502        1.0004
BFGS:   19 13:57:31       -0.653876        2.2650
BFGS:   20 13:57:31       -0.685655        1.2704
BFGS:   21 13:57:31       -0.684156        1.0336
BFGS:   22 13:57:31       -0.697094        0.8129
BFGS:   23 13:57:31       -0.683501        2.1988
BFGS:   24 13:57:32       -0.713022        1.3268
BFGS:   25 13:57:32       -0.714873        0.9889
BFGS:   26 13:57:32       -0.728457        0.7996
BFGS:   27 13:57:32       -0.678447        2.8598
BFGS:   28 13:57:32       -0.743960        1.4351
BFGS:   29 13:57:32       -0.748794        1.0946
BFGS:   30 13:57:32       -0.763584        0.3639
BFGS:   31 13:57:32       -0.775032        1.1605
BFGS:   32 13:57:32       -0.790004        0.9447
BFGS:   33 13:57:32       -0.807166        0.4770
BFGS:   34 13:57:32       -0.814956        0.2624
BFGS:   35 13:57:33       -0.826700        0.1825
BFGS:   36 13:57:33       -0.832131        0.1308
BFGS:   37 13:57:33       -0.842044        0.1380
BFGS:   38 13:57:33       -0.850205        0.1498
BFGS:   39 13:57:33       -0.858905        0.2168
BFGS:   40 13:57:33       -0.867827        0.1801
BFGS:   41 13:57:33       -0.877078        0.1621
BFGS:   42 13:57:33       -0.885445        0.1765
BFGS:   43 13:57:33       -0.893086        0.1711
BFGS:   44 13:57:33       -0.900225        0.1280
BFGS:   45 13:57:33       -0.906376        0.1691
BFGS:   46 13:57:33       -0.912335        0.2024
BFGS:   47 13:57:33       -0.918096        0.2427
BFGS:   48 13:57:33       -0.923723        0.1269
BFGS:   49 13:57:33       -0.929171        0.1881
BFGS:   50 13:57:33       -0.934839        0.1714
BFGS:   51 13:57:34       -0.940626        0.1305
BFGS:   52 13:57:34       -0.946705        0.1392
BFGS:   53 13:57:34       -0.952597        0.1380
BFGS:   54 13:57:34       -0.957798        0.1199
BFGS:   55 13:57:34       -0.962803        0.1058
BFGS:   56 13:57:34       -0.968399        0.1383
BFGS:   57 13:57:34       -0.974023        0.1967
BFGS:   58 13:57:34       -0.979806        0.2071
BFGS:   59 13:57:34       -0.986440        0.5216
BFGS:   60 13:57:34       -0.993070        0.3594
BFGS:   61 13:57:34       -1.000174        0.1800
BFGS:   62 13:57:34       -1.006633        0.9086
BFGS:   63 13:57:34       -1.010717        0.4203
BFGS:   64 13:57:34       -1.015013        0.1996
BFGS:   65 13:57:34       -1.020034        0.4040
BFGS:   66 13:57:34       -1.024546        0.3275
BFGS:   67 13:57:35       -1.030452        0.4624
BFGS:   68 13:57:35       -1.034460        0.1894
BFGS:   69 13:57:35       -1.039245        0.2253
BFGS:   70 13:57:35       -1.044434        0.2789
BFGS:   71 13:57:35       -1.049340        0.1947
BFGS:   72 13:57:35       -1.053318        0.3020
BFGS:   73 13:57:35       -1.056223        0.3366
BFGS:   74 13:57:36       -1.059633        0.1000
BFGS:   75 13:57:36       -1.063649        0.0793
BFGS:   76 13:57:36       -1.067533        0.3725
BFGS:   77 13:57:36       -1.069977        0.5871
BFGS:   78 13:57:36       -1.075001        0.2708
BFGS:   79 13:57:36       -1.078742        0.3011
BFGS:   80 13:57:36       -1.082695        0.1958
BFGS:   81 13:57:36       -1.085326        0.2364
BFGS:   82 13:57:36       -1.088554        0.2477
BFGS:   83 13:57:36       -1.091089        0.3118
BFGS:   84 13:57:37       -1.093552        0.1332
BFGS:   85 13:57:37       -1.096003        0.0774
BFGS:   86 13:57:37       -1.098066        0.1327
BFGS:   87 13:57:37       -1.100262        0.1167
BFGS:   88 13:57:37       -1.102360        0.0998
BFGS:   89 13:57:37       -1.104644        0.0742
BFGS:   90 13:57:37       -1.106980        0.0662
BFGS:   91 13:57:37       -1.109048        0.1904
BFGS:   92 13:57:37       -1.110763        0.0685
BFGS:   93 13:57:37       -1.112279        0.1508
BFGS:   94 13:57:38       -1.113866        0.0773
BFGS:   95 13:57:38       -1.115546        0.0617
BFGS:   96 13:57:38       -1.116982        0.2108
BFGS:   97 13:57:38       -1.118455        0.1011
BFGS:   98 13:57:38       -1.119969        0.1915
BFGS:   99 13:57:38       -1.121407        0.1008
BFGS:  100 13:57:38       -1.122778        0.1011
BFGS:  101 13:57:38       -1.124132        0.1589
BFGS:  102 13:57:38       -1.125702        0.1460
BFGS:  103 13:57:38       -1.127444        0.0637
BFGS:  104 13:57:38       -1.129164        0.0917
BFGS:  105 13:57:39       -1.130696        0.1349
BFGS:  106 13:57:39       -1.132251        0.0969
BFGS:  107 13:57:39       -1.133878        0.1311
BFGS:  108 13:57:39       -1.135664        0.1460
BFGS:  109 13:57:39       -1.137357        0.0989
BFGS:  110 13:57:39       -1.138928        0.0792
BFGS:  111 13:57:39       -1.140375        0.0813
BFGS:  112 13:57:39       -1.141655        0.0984
BFGS:  113 13:57:39       -1.142888        0.0723
BFGS:  114 13:57:39       -1.144083        0.0697
BFGS:  115 13:57:39       -1.145238        0.0897
BFGS:  116 13:57:39       -1.146443        0.0945
BFGS:  117 13:57:39       -1.147424        0.0901
BFGS:  118 13:57:39       -1.148129        0.0749
BFGS:  119 13:57:39       -1.148712        0.0474
Optimization complete!
Performing a relaxed scan over 20 steps...
      Step     Time          Energy         fmax
BFGS:    0 13:57:40       -0.992256        3.6243
BFGS:    1 13:57:40       -0.701815        7.1028
BFGS:    2 13:57:40       -0.977478        4.9271
BFGS:    3 13:57:40       -0.614569        6.4018
BFGS:    4 13:57:40       -1.100059        2.0731
BFGS:    5 13:57:40       -0.911148        3.6958
BFGS:    6 13:57:40       -1.081387        1.7282
BFGS:    7 13:57:40       -0.933102        2.3350
BFGS:    8 13:57:40       -1.075978        2.3292
BFGS:    9 13:57:40        5.227390       20.2908
BFGS:   10 13:57:40       -1.002700        3.1536
BFGS:   11 13:57:41       -0.917503        3.4987
BFGS:   12 13:57:41       -1.114027        1.7433
BFGS:   13 13:57:41       -0.755863        4.7404
BFGS:   14 13:57:41       -1.063445        2.0791
BFGS:   15 13:57:41       -0.935448        2.6731
BFGS:   16 13:57:41       -1.087310        1.9925
BFGS:   17 13:57:41        1.961967       12.0774
BFGS:   18 13:57:41       -1.004514        3.1262
BFGS:   19 13:57:41       -0.916768        3.5942
BFGS:   20 13:57:41       -1.116783        1.9438
BFGS:   21 13:57:41       -0.609186        5.7256
BFGS:   22 13:57:42       -1.043579        2.1433
BFGS:   23 13:57:42       -0.966775        3.5206
