Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 13:59:03        1.530335        4.5065
BFGS:    1 13:59:04        0.353361        3.5127
BFGS:    2 13:59:04        0.093912        4.7612
BFGS:    3 13:59:04        0.040237        2.6378
BFGS:    4 13:59:04       -0.136045        1.4427
BFGS:    5 13:59:04       -0.251517        1.3574
BFGS:    6 13:59:04       -0.337991        3.6510
BFGS:    7 13:59:04       -0.388958        0.8520
BFGS:    8 13:59:04       -0.427528        0.8748
BFGS:    9 13:59:04       -0.479510        0.8039
BFGS:   10 13:59:04       -0.491992        2.8688
BFGS:   11 13:59:04       -0.530234        1.4902
BFGS:   12 13:59:05       -0.580282        2.1741
BFGS:   13 13:59:05       -0.585865        1.6432
BFGS:   14 13:59:05       -0.604790        1.3853
BFGS:   15 13:59:05       -0.590990        3.0789
BFGS:   16 13:59:05       -0.643311        1.4156
BFGS:   17 13:59:05       -0.645105        1.0091
BFGS:   18 13:59:05       -0.659597        1.0001
BFGS:   19 13:59:05       -0.654449        2.2445
BFGS:   20 13:59:05       -0.685788        1.2693
BFGS:   21 13:59:05       -0.684295        1.0342
BFGS:   22 13:59:05       -0.697236        0.8156
BFGS:   23 13:59:05       -0.683145        2.2064
BFGS:   24 13:59:06       -0.713133        1.3273
BFGS:   25 13:59:06       -0.715009        0.9920
BFGS:   26 13:59:06       -0.728621        0.7937
BFGS:   27 13:59:06       -0.682124        2.8385
BFGS:   28 13:59:06       -0.744338        1.4220
BFGS:   29 13:59:06       -0.749627        1.0837
BFGS:   30 13:59:06       -0.763949        0.3567
BFGS:   31 13:59:07       -0.776128        1.1309
BFGS:   32 13:59:07       -0.791259        0.9116
BFGS:   33 13:59:07       -0.807438        0.3892
BFGS:   34 13:59:07       -0.815399        0.2741
BFGS:   35 13:59:07       -0.826923        0.2224
BFGS:   36 13:59:07       -0.832346        0.1575
BFGS:   37 13:59:07       -0.842251        0.1380
BFGS:   38 13:59:08       -0.850497        0.1617
BFGS:   39 13:59:08       -0.859189        0.2382
BFGS:   40 13:59:08       -0.868057        0.1970
BFGS:   41 13:59:08       -0.877308        0.1630
BFGS:   42 13:59:08       -0.885658        0.1883
BFGS:   43 13:59:08       -0.893250        0.1741
BFGS:   44 13:59:08       -0.900391        0.1405
BFGS:   45 13:59:09       -0.906581        0.1650
BFGS:   46 13:59:09       -0.912471        0.2002
BFGS:   47 13:59:09       -0.918192        0.2734
BFGS:   48 13:59:09       -0.923849        0.1272
BFGS:   49 13:59:09       -0.929268        0.1887
BFGS:   50 13:59:09       -0.934901        0.1786
BFGS:   51 13:59:09       -0.940776        0.1334
BFGS:   52 13:59:09       -0.946995        0.1354
BFGS:   53 13:59:09       -0.952766        0.1407
BFGS:   54 13:59:09       -0.957941        0.1208
BFGS:   55 13:59:10       -0.963026        0.1050
