Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 15:57:20        1.643636        4.7551
BFGS:    1 15:57:20        0.562022        4.9565
BFGS:    2 15:57:20        0.222893        2.4488
BFGS:    3 15:57:20        0.057405        1.6996
BFGS:    4 15:57:20        0.062594        7.9857
BFGS:    5 15:57:20       -0.008619        2.9262
BFGS:    6 15:57:20       -0.140713        1.9142
BFGS:    7 15:57:21       -0.210163        1.0765
BFGS:    8 15:57:21       -0.274737        0.9673
BFGS:    9 15:57:21       -0.339258        0.8306
BFGS:   10 15:57:21       -0.375156        0.5781
BFGS:   11 15:57:21       -0.402972        0.6283
BFGS:   12 15:57:21       -0.428887        0.4629
BFGS:   13 15:57:22       -0.455554        0.5196
BFGS:   14 15:57:22       -0.477612        0.4815
BFGS:   15 15:57:22       -0.502904        0.3814
BFGS:   16 15:57:22       -0.522218        0.4604
BFGS:   17 15:57:22       -0.538317        0.4808
BFGS:   18 15:57:22       -0.552517        0.4849
BFGS:   19 15:57:22       -0.570833        0.4634
BFGS:   20 15:57:23       -0.590135        0.2942
BFGS:   21 15:57:23       -0.602085        0.1949
BFGS:   22 15:57:23       -0.614165        0.2861
BFGS:   23 15:57:23       -0.628042        0.2917
BFGS:   24 15:57:23       -0.646157        0.4014
BFGS:   25 15:57:23       -0.664157        0.2891
BFGS:   26 15:57:24       -0.680323        0.2887
BFGS:   27 15:57:24       -0.695351        0.2135
BFGS:   28 15:57:24       -0.710428        0.3657
BFGS:   29 15:57:24       -0.726148        0.4018
BFGS:   30 15:57:24       -0.740521        0.3321
BFGS:   31 15:57:24       -0.752189        0.1842
BFGS:   32 15:57:24       -0.762791        0.2821
BFGS:   33 15:57:24       -0.770343        0.2797
BFGS:   34 15:57:25       -0.779975        0.2301
BFGS:   35 15:57:25       -0.786095        0.1862
BFGS:   36 15:57:25       -0.791256        0.1022
BFGS:   37 15:57:25       -0.795849        0.1459
BFGS:   38 15:57:25       -0.800564        0.2063
BFGS:   39 15:57:25       -0.805458        0.1767
BFGS:   40 15:57:25       -0.810317        0.1192
BFGS:   41 15:57:25       -0.815358        0.1580
BFGS:   42 15:57:25       -0.820420        0.2008
BFGS:   43 15:57:25       -0.825538        0.2665
BFGS:   44 15:57:25       -0.830346        0.2607
BFGS:   45 15:57:25       -0.834781        0.1491
BFGS:   46 15:57:25       -0.838497        0.1194
BFGS:   47 15:57:26       -0.841900        0.1720
BFGS:   48 15:57:26       -0.844583        0.1881
BFGS:   49 15:57:26       -0.847171        0.0970
BFGS:   50 15:57:26       -0.849589        0.0815
BFGS:   51 15:57:26       -0.851561        0.1271
BFGS:   52 15:57:26       -0.853603        0.0945
BFGS:   53 15:57:26       -0.855260        0.0585
BFGS:   54 15:57:26       -0.856679        0.0761
BFGS:   55 15:57:26       -0.858136        0.1128
BFGS:   56 15:57:26       -0.859788        0.1311
BFGS:   57 15:57:26       -0.861890        0.0786
BFGS:   58 15:57:27       -0.863593        0.0718
BFGS:   59 15:57:27       -0.865162        0.0579
BFGS:   60 15:57:27       -0.866593        0.0561
BFGS:   61 15:57:27       -0.868093        0.0764
BFGS:   62 15:57:27       -0.869656        0.0755
BFGS:   63 15:57:27       -0.871220        0.0642
BFGS:   64 15:57:27       -0.872778        0.0866
BFGS:   65 15:57:28       -0.874296        0.0666
BFGS:   66 15:57:28       -0.875813        0.0669
BFGS:   67 15:57:28       -0.877424        0.0797
BFGS:   68 15:57:28       -0.879404        0.1392
BFGS:   69 15:57:28       -0.881605        0.1125
BFGS:   70 15:57:28       -0.884074        0.0777
BFGS:   71 15:57:28       -0.886379        0.0762
BFGS:   72 15:57:28       -0.888792        0.1014
BFGS:   73 15:57:28       -0.891125        0.0893
BFGS:   74 15:57:29       -0.893312        0.0892
BFGS:   75 15:57:29       -0.895424        0.0847
BFGS:   76 15:57:29       -0.897500        0.1067
BFGS:   77 15:57:29       -0.899396        0.0922
BFGS:   78 15:57:29       -0.901332        0.0762
BFGS:   79 15:57:29       -0.903275        0.0744
BFGS:   80 15:57:29       -0.905596        0.0661
BFGS:   81 15:57:29       -0.906962        0.0636
BFGS:   82 15:57:30       -0.908487        0.0631
BFGS:   83 15:57:30       -0.909656        0.0696
BFGS:   84 15:57:30       -0.910891        0.0713
BFGS:   85 15:57:30       -0.912193        0.0662
BFGS:   86 15:57:30       -0.913740        0.0589
BFGS:   87 15:57:30       -0.915466        0.0685
BFGS:   88 15:57:30       -0.917352        0.0770
BFGS:   89 15:57:30       -0.919128        0.0853
BFGS:   90 15:57:31       -0.920566        0.0808
BFGS:   91 15:57:31       -0.921996        0.0656
BFGS:   92 15:57:31       -0.923567        0.0736
BFGS:   93 15:57:31       -0.924781        0.0633
BFGS:   94 15:57:31       -0.926065        0.0531
BFGS:   95 15:57:31       -0.927251        0.0494
Optimization complete!
Performing a relaxed scan over 20 steps...
      Step     Time          Energy         fmax
BFGS:    0 15:57:32       -0.818854        3.2137
BFGS:    1 15:57:32       -0.905282        4.9421
BFGS:    2 15:57:32       -0.890862        0.9025
BFGS:    3 15:57:32       -0.902638        0.6247
BFGS:    4 15:57:32       -0.910642        0.2528
BFGS:    5 15:57:32       -0.912796        0.2068
BFGS:    6 15:57:33       -0.913690        0.1616
BFGS:    7 15:57:33       -0.913831        0.0638
BFGS:    8 15:57:33       -0.914205        0.0510
