Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 15:57:20        1.643637        4.7551
BFGS:    1 15:57:20        0.562024        4.9565
BFGS:    2 15:57:20        0.222893        2.4488
BFGS:    3 15:57:20        0.057399        1.6995
BFGS:    4 15:57:20        0.062629        7.9863
BFGS:    5 15:57:20       -0.008609        2.9263
BFGS:    6 15:57:20       -0.140713        1.9145
BFGS:    7 15:57:20       -0.210164        1.0767
BFGS:    8 15:57:20       -0.274730        0.9677
BFGS:    9 15:57:20       -0.339238        0.8317
BFGS:   10 15:57:20       -0.375156        0.5773
BFGS:   11 15:57:20       -0.402967        0.6261
BFGS:   12 15:57:20       -0.428900        0.4629
BFGS:   13 15:57:20       -0.455551        0.5201
BFGS:   14 15:57:21       -0.477614        0.4813
BFGS:   15 15:57:21       -0.502917        0.3814
BFGS:   16 15:57:21       -0.522208        0.4614
BFGS:   17 15:57:21       -0.538311        0.4806
BFGS:   18 15:57:21       -0.552516        0.4842
BFGS:   19 15:57:21       -0.570848        0.4630
BFGS:   20 15:57:21       -0.590120        0.2941
BFGS:   21 15:57:21       -0.602082        0.1949
BFGS:   22 15:57:22       -0.614155        0.2852
BFGS:   23 15:57:22       -0.628037        0.2914
BFGS:   24 15:57:22       -0.646146        0.4012
BFGS:   25 15:57:22       -0.664139        0.2880
BFGS:   26 15:57:22       -0.680302        0.2885
BFGS:   27 15:57:22       -0.695333        0.2133
BFGS:   28 15:57:22       -0.710430        0.3650
BFGS:   29 15:57:22       -0.726122        0.4011
BFGS:   30 15:57:22       -0.740513        0.3316
BFGS:   31 15:57:22       -0.752176        0.1845
BFGS:   32 15:57:23       -0.762780        0.2821
BFGS:   33 15:57:23       -0.770336        0.2795
BFGS:   34 15:57:23       -0.779974        0.2300
BFGS:   35 15:57:23       -0.786092        0.1864
BFGS:   36 15:57:23       -0.791253        0.1022
BFGS:   37 15:57:23       -0.795841        0.1457
BFGS:   38 15:57:23       -0.800562        0.2062
BFGS:   39 15:57:23       -0.805453        0.1768
BFGS:   40 15:57:24       -0.810312        0.1191
BFGS:   41 15:57:24       -0.815353        0.1579
BFGS:   42 15:57:24       -0.820416        0.2008
BFGS:   43 15:57:24       -0.825532        0.2663
BFGS:   44 15:57:24       -0.830342        0.2608
BFGS:   45 15:57:24       -0.834773        0.1502
BFGS:   46 15:57:24       -0.838480        0.1198
BFGS:   47 15:57:24       -0.841825        0.1740
BFGS:   48 15:57:24       -0.844567        0.1903
BFGS:   49 15:57:24       -0.847158        0.0962
BFGS:   50 15:57:24       -0.849692        0.0892
BFGS:   51 15:57:25       -0.851509        0.1280
BFGS:   52 15:57:25       -0.853726        0.0898
BFGS:   53 15:57:25       -0.855294        0.0603
BFGS:   54 15:57:25       -0.856730        0.0794
BFGS:   55 15:57:25       -0.858175        0.1139
BFGS:   56 15:57:25       -0.859885        0.1291
BFGS:   57 15:57:25       -0.861946        0.0755
BFGS:   58 15:57:25       -0.863645        0.0716
BFGS:   59 15:57:25       -0.865207        0.0582
BFGS:   60 15:57:25       -0.866644        0.0560
BFGS:   61 15:57:25       -0.868145        0.0775
BFGS:   62 15:57:25       -0.869703        0.0753
BFGS:   63 15:57:25       -0.871260        0.0669
BFGS:   64 15:57:26       -0.872807        0.0835
BFGS:   65 15:57:26       -0.874313        0.0680
BFGS:   66 15:57:26       -0.875843        0.0649
BFGS:   67 15:57:26       -0.877499        0.0861
BFGS:   68 15:57:26       -0.879469        0.1388
BFGS:   69 15:57:26       -0.881667        0.1062
BFGS:   70 15:57:26       -0.884145        0.0762
BFGS:   71 15:57:26       -0.886446        0.0757
BFGS:   72 15:57:26       -0.888877        0.1024
BFGS:   73 15:57:27       -0.891197        0.0864
BFGS:   74 15:57:27       -0.893383        0.0893
BFGS:   75 15:57:27       -0.895499        0.0836
