Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 13:15:18        1.940974        4.2757
BFGS:    1 13:15:18        0.733849        3.6371
BFGS:    2 13:15:18        0.447023        3.2177
BFGS:    3 13:15:18        0.297612        1.5050
BFGS:    4 13:15:18        0.191215        1.8201
BFGS:    5 13:15:18        0.083037        0.6688
BFGS:    6 13:15:18        0.011700        0.4645
BFGS:    7 13:15:18       -0.021110        0.8219
BFGS:    8 13:15:19       -0.059774        0.4452
BFGS:    9 13:15:19       -0.085163        0.3869
BFGS:   10 13:15:19       -0.104057        0.3388
BFGS:   11 13:15:19       -0.128032        0.4785
BFGS:   12 13:15:19       -0.156313        0.3222
BFGS:   13 13:15:19       -0.179743        0.3083
BFGS:   14 13:15:19       -0.208111        0.4115
BFGS:   15 13:15:19       -0.240358        0.5453
BFGS:   16 13:15:19       -0.274270        0.4247
BFGS:   17 13:15:19       -0.307414        0.4034
BFGS:   18 13:15:19       -0.338219        0.3787
BFGS:   19 13:15:19       -0.370351        0.4180
BFGS:   20 13:15:19       -0.410029        0.4100
BFGS:   21 13:15:20       -0.434656        2.6731
BFGS:   22 13:15:20       -0.409270        2.4050
BFGS:   23 13:15:20       -0.487738        0.7958
BFGS:   24 13:15:20       -0.528030        0.9283
BFGS:   25 13:15:20        0.307594        4.5405
BFGS:   26 13:15:20       -0.460182        2.1287
BFGS:   27 13:15:20       -0.590659        1.5056
BFGS:   28 13:15:20       -0.633725        1.4808
BFGS:   29 13:15:20       -0.602067        2.2882
BFGS:   30 13:15:20       -0.686669        1.8835
BFGS:   31 13:15:20       -0.692522        1.6048
BFGS:   32 13:15:20       -0.720177        1.4534
BFGS:   33 13:15:21       -0.638214        5.4284
BFGS:   34 13:15:21       -0.647877        3.0995
BFGS:   35 13:15:21       -0.724833        1.5776
BFGS:   36 13:15:21       -0.749621        1.2416
BFGS:   37 13:15:21       -0.773517        0.6944
BFGS:   38 13:15:21       -0.778611        2.4694
BFGS:   39 13:15:21       -0.771779        1.0890
BFGS:   40 13:15:21       -0.801619        1.8416
BFGS:   41 13:15:21       -0.811537        1.5794
BFGS:   42 13:15:21       -0.821724        0.3486
BFGS:   43 13:15:22       -0.837620        0.6257
BFGS:   44 13:15:22       -0.855259        1.2693
BFGS:   45 13:15:22       -0.867927        1.2172
BFGS:   46 13:15:22       -0.884156        0.7529
BFGS:   47 13:15:22       -0.905379        0.7866
BFGS:   48 13:15:22       -0.914587        0.4845
BFGS:   49 13:15:22       -0.924714        0.7196
BFGS:   50 13:15:22       -0.937366        0.4746
