Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 08:02:09       -1.146948        2.7858
BFGS:    1 08:02:09       -1.477857        1.5153
BFGS:    2 08:02:09       -1.630619        0.8658
BFGS:    3 08:02:09       -1.723126        0.8131
BFGS:    4 08:02:09       -1.750953        0.5368
BFGS:    5 08:02:10       -1.774351        0.3425
BFGS:    6 08:02:10       -1.789075        0.2709
BFGS:    7 08:02:10       -1.796649        0.2213
BFGS:    8 08:02:10       -1.802572        0.2260
BFGS:    9 08:02:10       -1.808497        0.2570
BFGS:   10 08:02:10       -1.814482        0.2039
BFGS:   11 08:02:10       -1.821211        0.1933
BFGS:   12 08:02:10       -1.827516        0.1667
BFGS:   13 08:02:10       -1.832049        0.1518
BFGS:   14 08:02:10       -1.835518        0.1488
BFGS:   15 08:02:10       -1.839384        0.1498
BFGS:   16 08:02:10       -1.844705        0.1593
BFGS:   17 08:02:10       -1.848591        0.1357
BFGS:   18 08:02:10       -1.850672        0.0999
BFGS:   19 08:02:10       -1.852320        0.1032
BFGS:   20 08:02:10       -1.854286        0.1274
BFGS:   21 08:02:10       -1.856770        0.1285
BFGS:   22 08:02:10       -1.858475        0.0933
BFGS:   23 08:02:10       -1.859387        0.0610
BFGS:   24 08:02:10       -1.860153        0.0728
BFGS:   25 08:02:10       -1.861011        0.0686
BFGS:   26 08:02:10       -1.861778        0.0589
BFGS:   27 08:02:11       -1.862328        0.0548
BFGS:   28 08:02:11       -1.862759        0.0442
Optimization complete!
Performing a relaxed scan over 20 steps...
      Step     Time          Energy         fmax
BFGS:    0 08:02:11       -1.756576        3.1364
BFGS:    1 08:02:11       -1.843771        3.6163
BFGS:    2 08:02:11       -1.824472        1.1800
BFGS:    3 08:02:11       -1.835516        0.9259
BFGS:    4 08:02:11       -1.845365        0.2354
BFGS:    5 08:02:11       -1.847510        0.1674
BFGS:    6 08:02:11       -1.848619        0.1865
BFGS:    7 08:02:11       -1.849142        0.0691
BFGS:    8 08:02:11       -1.849502        0.0804
BFGS:    9 08:02:11       -1.850173        0.0991
BFGS:   10 08:02:11       -1.850951        0.0804
BFGS:   11 08:02:11       -1.851691        0.0684
BFGS:   12 08:02:11       -1.852354        0.0807
BFGS:   13 08:02:11       -1.852830        0.0655
BFGS:   14 08:02:11       -1.853217        0.0473
      Step     Time          Energy         fmax
BFGS:    0 08:02:11       -1.682155        3.9524
BFGS:    1 08:02:11       -1.833847        5.4438
BFGS:    2 08:02:12       -1.787961        1.2919
BFGS:    3 08:02:12       -1.798573        1.1590
BFGS:    4 08:02:12       -1.813173        0.2798
BFGS:    5 08:02:12       -1.815522        0.1805
BFGS:    6 08:02:12       -1.816152        0.2085
BFGS:    7 08:02:12       -1.816418        0.0631
BFGS:    8 08:02:12       -1.816473        0.0788
BFGS:    9 08:02:12       -1.816874        0.0987
BFGS:   10 08:02:12       -1.817511        0.0886
BFGS:   11 08:02:12       -1.818262        0.0764
BFGS:   12 08:02:12       -1.819211        0.1062
BFGS:   13 08:02:12       -1.820078        0.1053
BFGS:   14 08:02:12       -1.820815        0.0841
BFGS:   15 08:02:12       -1.821394        0.0702
BFGS:   16 08:02:12       -1.822195        0.0686
BFGS:   17 08:02:12       -1.823272        0.0998
BFGS:   18 08:02:12       -1.824702        0.1177
BFGS:   19 08:02:13       -1.826135        0.0926
BFGS:   20 08:02:13       -1.827546        0.1224
BFGS:   21 08:02:13       -1.828942        0.1245
BFGS:   22 08:02:13       -1.830555        0.1506
BFGS:   23 08:02:13       -1.832876        0.1386
BFGS:   24 08:02:13       -1.835831        0.1375
BFGS:   25 08:02:13       -1.839281        0.1526
BFGS:   26 08:02:13       -1.842166        0.1474
BFGS:   27 08:02:13       -1.844589        0.1320
BFGS:   28 08:02:13       -1.846399        0.1212
BFGS:   29 08:02:13       -1.848267        0.1509
BFGS:   30 08:02:13       -1.850126        0.1479
BFGS:   31 08:02:13       -1.852098        0.1159
BFGS:   32 08:02:13       -1.854332        0.1138
BFGS:   33 08:02:13       -1.856575        0.1635
BFGS:   34 08:02:13       -1.858875        0.1518
BFGS:   35 08:02:14       -1.860555        0.0989
