Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 08:02:09       -1.146948        2.7858
BFGS:    1 08:02:09       -1.477857        1.5153
BFGS:    2 08:02:09       -1.630619        0.8658
BFGS:    3 08:02:10       -1.723126        0.8131
BFGS:    4 08:02:10       -1.750953        0.5368
BFGS:    5 08:02:10       -1.774351        0.3425
BFGS:    6 08:02:10       -1.789075        0.2709
BFGS:    7 08:02:10       -1.796649        0.2213
BFGS:    8 08:02:10       -1.802572        0.2260
BFGS:    9 08:02:10       -1.808498        0.2570
BFGS:   10 08:02:10       -1.814482        0.2039
BFGS:   11 08:02:10       -1.821211        0.1933
BFGS:   12 08:02:10       -1.827515        0.1667
BFGS:   13 08:02:10       -1.832049        0.1517
BFGS:   14 08:02:10       -1.835517        0.1489
BFGS:   15 08:02:10       -1.839383        0.1498
BFGS:   16 08:02:10       -1.844706        0.1594
BFGS:   17 08:02:10       -1.848591        0.1357
BFGS:   18 08:02:10       -1.850672        0.1000
BFGS:   19 08:02:10       -1.852320        0.1032
BFGS:   20 08:02:10       -1.854286        0.1274
BFGS:   21 08:02:10       -1.856770        0.1286
BFGS:   22 08:02:11       -1.858475        0.0932
BFGS:   23 08:02:11       -1.859387        0.0610
BFGS:   24 08:02:11       -1.860154        0.0728
BFGS:   25 08:02:11       -1.861011        0.0686
BFGS:   26 08:02:11       -1.861778        0.0589
BFGS:   27 08:02:11       -1.862329        0.0548
BFGS:   28 08:02:11       -1.862759        0.0442
Optimization complete!
Performing a relaxed scan over 20 steps...
      Step     Time          Energy         fmax
BFGS:    0 08:02:11       -1.625888        5.4030
BFGS:    1 08:02:11       -1.772456        4.1477
BFGS:    2 08:02:11       -1.819371        4.4415
BFGS:    3 08:02:11       -1.749481        3.4177
BFGS:    4 08:02:11       -1.842270        0.3766
BFGS:    5 08:02:12       -1.845252        0.2032
BFGS:    6 08:02:12       -1.846265        0.2323
BFGS:    7 08:02:12       -1.847075        0.0647
BFGS:    8 08:02:12       -1.847706        0.0693
BFGS:    9 08:02:12       -1.848805        0.0931
BFGS:   10 08:02:12       -1.849574        0.0539
BFGS:   11 08:02:12       -1.850067        0.0406
      Step     Time          Energy         fmax
BFGS:    0 08:02:12       -1.479210        6.6556
BFGS:    1 08:02:12       -1.715577        5.2473
BFGS:    2 08:02:12       -1.763800        6.0531
BFGS:    3 08:02:12       -1.655609        3.8380
BFGS:    4 08:02:12       -1.801027        0.5698
BFGS:    5 08:02:12       -1.804528        0.2618
BFGS:    6 08:02:12       -1.803778        0.2622
BFGS:    7 08:02:12       -1.803855        0.1234
BFGS:    8 08:02:12       -1.804561        0.1036
BFGS:    9 08:02:13       -1.805529        0.1117
BFGS:   10 08:02:13       -1.807231        0.0998
BFGS:   11 08:02:13       -1.808672        0.0829
BFGS:   12 08:02:13       -1.810249        0.0903
BFGS:   13 08:02:13       -1.811608        0.1087
BFGS:   14 08:02:13       -1.813814        0.1585
BFGS:   15 08:02:13       -1.815409        0.1547
BFGS:   16 08:02:13       -1.817755        0.1423
BFGS:   17 08:02:13       -1.819526        0.1133
BFGS:   18 08:02:13       -1.820780        0.1083
BFGS:   19 08:02:13       -1.821727        0.0759
BFGS:   20 08:02:13       -1.822533        0.0899
BFGS:   21 08:02:13       -1.823632        0.1035
BFGS:   22 08:02:13       -1.825344        0.1191
BFGS:   23 08:02:13       -1.826625        0.0928
BFGS:   24 08:02:13       -1.828071        0.0806
BFGS:   25 08:02:14       -1.829159        0.1056
BFGS:   26 08:02:14       -1.830831        0.1574
BFGS:   27 08:02:14       -1.832528        0.1609
BFGS:   28 08:02:14       -1.833913        0.0868
BFGS:   29 08:02:14       -1.834986        0.0816
BFGS:   30 08:02:14       -1.835914        0.0853
BFGS:   31 08:02:14       -1.837429        0.1171
BFGS:   32 08:02:14       -1.839400        0.1376
BFGS:   33 08:02:14       -1.841743        0.1569
BFGS:   34 08:02:14       -1.844040        0.1469
BFGS:   35 08:02:14       -1.846278        0.1365
BFGS:   36 08:02:14       -1.848510        0.1509
BFGS:   37 08:02:14       -1.850821        0.1268
BFGS:   38 08:02:14       -1.853139        0.1316
