Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 08:03:57       -1.146948        2.7858
BFGS:    1 08:03:57       -1.477857        1.5153
BFGS:    2 08:03:57       -1.630619        0.8658
BFGS:    3 08:03:57       -1.723126        0.8131
BFGS:    4 08:03:57       -1.750952        0.5368
BFGS:    5 08:03:57       -1.774351        0.3425
BFGS:    6 08:03:57       -1.789075        0.2709
BFGS:    7 08:03:57       -1.796649        0.2213
BFGS:    8 08:03:57       -1.802572        0.2260
BFGS:    9 08:03:57       -1.808497        0.2570
BFGS:   10 08:03:57       -1.814483        0.2039
BFGS:   11 08:03:57       -1.821211        0.1932
BFGS:   12 08:03:57       -1.827515        0.1667
BFGS:   13 08:03:57       -1.832048        0.1518
BFGS:   14 08:03:57       -1.835517        0.1488
BFGS:   15 08:03:57       -1.839383        0.1498
BFGS:   16 08:03:57       -1.844707        0.1594
BFGS:   17 08:03:57       -1.848591        0.1357
BFGS:   18 08:03:58       -1.850672        0.0999
BFGS:   19 08:03:58       -1.852320        0.1032
BFGS:   20 08:03:58       -1.854286        0.1275
BFGS:   21 08:03:58       -1.856770        0.1286
BFGS:   22 08:03:58       -1.858476        0.0932
BFGS:   23 08:03:58       -1.859387        0.0610
BFGS:   24 08:03:58       -1.860154        0.0728
BFGS:   25 08:03:58       -1.861011        0.0686
BFGS:   26 08:03:58       -1.861778        0.0589
BFGS:   27 08:03:58       -1.862328        0.0548
BFGS:   28 08:03:58       -1.862759        0.0442
Optimization complete!
Performing a relaxed scan over 20 steps...
      Step     Time          Energy         fmax
BFGS:    0 08:03:58       -1.716164        4.3916
BFGS:    1 08:03:58       -1.802591        4.1289
BFGS:    2 08:03:58       -1.815956        1.6444
BFGS:    3 08:03:58       -1.833073        0.9191
BFGS:    4 08:03:58       -1.844395        0.2105
BFGS:    5 08:03:59       -1.844816        0.1868
BFGS:    6 08:03:59       -1.846062        0.1167
BFGS:    7 08:03:59       -1.847262        0.0763
BFGS:    8 08:03:59       -1.848202        0.0814
BFGS:    9 08:03:59       -1.849188        0.0864
BFGS:   10 08:03:59       -1.849769        0.0814
BFGS:   11 08:03:59       -1.850132        0.0569
BFGS:   12 08:03:59       -1.850631        0.0692
BFGS:   13 08:03:59       -1.851387        0.0782
BFGS:   14 08:03:59       -1.852120        0.0691
BFGS:   15 08:03:59       -1.852706        0.0801
BFGS:   16 08:04:00       -1.853232        0.0693
BFGS:   17 08:04:00       -1.853855        0.0828
BFGS:   18 08:04:00       -1.854561        0.0862
BFGS:   19 08:04:00       -1.855217        0.1016
BFGS:   20 08:04:00       -1.855778        0.0843
BFGS:   21 08:04:00       -1.856553        0.0821
BFGS:   22 08:04:00       -1.857522        0.1002
BFGS:   23 08:04:00       -1.859200        0.1140
BFGS:   24 08:04:00       -1.861488        0.1657
BFGS:   25 08:04:00       -1.864547        0.1554
BFGS:   26 08:04:00       -1.867136        0.1534
BFGS:   27 08:04:00       -1.869120        0.1411
BFGS:   28 08:04:00       -1.870781        0.0932
BFGS:   29 08:04:00       -1.872859        0.1264
BFGS:   30 08:04:00       -1.875496        0.1236
BFGS:   31 08:04:01       -1.878443        0.1549
BFGS:   32 08:04:01       -1.881508        0.1710
