Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 08:03:41       -1.146948        2.7858
BFGS:    1 08:03:41       -1.477857        1.5153
BFGS:    2 08:03:41       -1.630619        0.8658
BFGS:    3 08:03:41       -1.723126        0.8131
BFGS:    4 08:03:41       -1.750953        0.5368
BFGS:    5 08:03:41       -1.774351        0.3425
BFGS:    6 08:03:42       -1.789075        0.2709
BFGS:    7 08:03:42       -1.796649        0.2213
BFGS:    8 08:03:42       -1.802572        0.2260
BFGS:    9 08:03:42       -1.808497        0.2570
BFGS:   10 08:03:42       -1.814482        0.2039
BFGS:   11 08:03:42       -1.821211        0.1933
BFGS:   12 08:03:42       -1.827515        0.1667
BFGS:   13 08:03:42       -1.832048        0.1518
BFGS:   14 08:03:42       -1.835516        0.1489
BFGS:   15 08:03:42       -1.839382        0.1497
BFGS:   16 08:03:42       -1.844707        0.1594
BFGS:   17 08:03:42       -1.848591        0.1358
BFGS:   18 08:03:42       -1.850672        0.0999
BFGS:   19 08:03:42       -1.852321        0.1033
BFGS:   20 08:03:42       -1.854288        0.1275
BFGS:   21 08:03:42       -1.856768        0.1287
BFGS:   22 08:03:42       -1.858476        0.0932
BFGS:   23 08:03:42       -1.859387        0.0610
BFGS:   24 08:03:43       -1.860154        0.0728
BFGS:   25 08:03:43       -1.861011        0.0686
BFGS:   26 08:03:43       -1.861778        0.0589
BFGS:   27 08:03:43       -1.862329        0.0548
BFGS:   28 08:03:43       -1.862759        0.0442
Optimization complete!
Performing a relaxed scan over 20 steps...
      Step     Time          Energy         fmax
BFGS:    0 08:03:43       -1.653311        5.1206
BFGS:    1 08:03:43       -1.779713        3.6740
BFGS:    2 08:03:43       -1.836951        3.2301
BFGS:    3 08:03:43       -1.764917        4.5302
BFGS:    4 08:03:43       -1.843626        0.2295
BFGS:    5 08:03:43       -1.846301        0.2108
BFGS:    6 08:03:43       -1.847689        0.1342
BFGS:    7 08:03:43       -1.847928        0.0816
BFGS:    8 08:03:43       -1.848640        0.0748
BFGS:    9 08:03:44       -1.849555        0.0789
BFGS:   10 08:03:44       -1.850614        0.0576
BFGS:   11 08:03:44       -1.851365        0.0567
BFGS:   12 08:03:44       -1.852239        0.0661
BFGS:   13 08:03:44       -1.853230        0.1027
BFGS:   14 08:03:44       -1.854597        0.1020
BFGS:   15 08:03:44       -1.856146        0.1157
BFGS:   16 08:03:44       -1.858192        0.1042
BFGS:   17 08:03:44       -1.860334        0.1203
BFGS:   18 08:03:44       -1.862207        0.1085
BFGS:   19 08:03:44       -1.863566        0.0826
BFGS:   20 08:03:44       -1.864649        0.1002
BFGS:   21 08:03:44       -1.865881        0.0985
BFGS:   22 08:03:44       -1.867091        0.1038
BFGS:   23 08:03:44       -1.868132        0.0719
BFGS:   24 08:03:44       -1.869058        0.0744
BFGS:   25 08:03:44       -1.870254        0.1050
BFGS:   26 08:03:44       -1.871675        0.1336
BFGS:   27 08:03:44       -1.872911        0.0648
BFGS:   28 08:03:45       -1.873742        0.0549
BFGS:   29 08:03:45       -1.874502        0.0695
BFGS:   30 08:03:45       -1.875620        0.1090
BFGS:   31 08:03:45       -1.877301        0.1302
BFGS:   32 08:03:45       -1.879304        0.1221
BFGS:   33 08:03:45       -1.881392        0.1067
BFGS:   34 08:03:45       -1.883463        0.0962
BFGS:   35 08:03:45       -1.885403        0.1149
BFGS:   36 08:03:45       -1.887256        0.1272
BFGS:   37 08:03:45       -1.888980        0.1360
BFGS:   38 08:03:45       -1.890450        0.0891
BFGS:   39 08:03:45       -1.891472        0.0726
BFGS:   40 08:03:46       -1.892194        0.0708
BFGS:   41 08:03:46       -1.892812        0.0658
BFGS:   42 08:03:46       -1.893467        0.0548
BFGS:   43 08:03:46       -1.894170        0.0612
BFGS:   44 08:03:46       -1.894756        0.0520
BFGS:   45 08:03:46       -1.895130        0.0479
      Step     Time          Energy         fmax
BFGS:    0 08:03:46       -1.732780        4.3519
BFGS:    1 08:03:46       -1.830130        3.1735
BFGS:    2 08:03:46       -1.873547        2.8636
BFGS:    3 08:03:46       -1.820359        3.8451
BFGS:    4 08:03:46       -1.878912        0.2617
BFGS:    5 08:03:46       -1.882102        0.1845
BFGS:    6 08:03:47       -1.883635        0.1191
BFGS:    7 08:03:47       -1.883852        0.0637
BFGS:    8 08:03:47       -1.884335        0.0717
BFGS:    9 08:03:47       -1.884907        0.0807
BFGS:   10 08:03:47       -1.885506        0.0442
      Step     Time          Energy         fmax
BFGS:    0 08:03:47       -1.634842        5.1960
BFGS:    1 08:03:47       -1.791666        3.6210
BFGS:    2 08:03:47       -1.844848        2.7052
BFGS:    3 08:03:47       -1.764661        5.1312
BFGS:    4 08:03:47       -1.842764        0.3398
BFGS:    5 08:03:47       -1.847895        0.2275
BFGS:    6 08:03:47       -1.849160        0.1488
BFGS:    7 08:03:47       -1.848504        0.0828
BFGS:    8 08:03:47       -1.849088        0.0981
BFGS:    9 08:03:48       -1.849756        0.1008
BFGS:   10 08:03:48       -1.850994        0.0647
BFGS:   11 08:03:48       -1.852005        0.0527
BFGS:   12 08:03:48       -1.853001        0.0694
