Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 08:02:09       -4.340350        5.2988
BFGS:    1 08:02:09       -4.906188        8.0542
BFGS:    2 08:02:09       -5.305334        2.9560
BFGS:    3 08:02:09       -5.460690        1.3242
BFGS:    4 08:02:09       -5.571280        0.4572
BFGS:    5 08:02:09       -5.669197        1.1172
BFGS:    6 08:02:10       -5.718557        0.5911
BFGS:    7 08:02:10       -5.761984        0.3262
BFGS:    8 08:02:10       -5.793765        0.4539
BFGS:    9 08:02:10       -5.826590        0.4765
BFGS:   10 08:02:10       -5.858811        0.3786
BFGS:   11 08:02:10       -5.890113        0.3057
BFGS:   12 08:02:10       -5.916314        0.3749
BFGS:   13 08:02:10       -5.935079        0.3533
BFGS:   14 08:02:10       -5.950385        0.2487
BFGS:   15 08:02:11       -5.966438        0.2472
BFGS:   16 08:02:11       -5.984315        0.2756
BFGS:   17 08:02:11       -5.997521        0.2146
BFGS:   18 08:02:11       -6.007732        0.1698
BFGS:   19 08:02:11       -6.016963        0.2138
BFGS:   20 08:02:11       -6.026478        0.2118
BFGS:   21 08:02:11       -6.034776        0.1969
BFGS:   22 08:02:11       -6.041777        0.1310
BFGS:   23 08:02:11       -6.048243        0.1319
BFGS:   24 08:02:11       -6.054458        0.1589
BFGS:   25 08:02:11       -6.059928        0.1165
BFGS:   26 08:02:12       -6.064744        0.1122
BFGS:   27 08:02:12       -6.069830        0.1618
BFGS:   28 08:02:12       -6.076024        0.1697
BFGS:   29 08:02:12       -6.083010        0.1417
BFGS:   30 08:02:12       -6.090131        0.1327
BFGS:   31 08:02:12       -6.097584        0.1388
BFGS:   32 08:02:12       -6.105801        0.1763
BFGS:   33 08:02:12       -6.114669        0.1720
BFGS:   34 08:02:13       -6.124269        0.1655
BFGS:   35 08:02:13       -6.135480        0.1908
BFGS:   36 08:02:13       -6.148177        0.1913
BFGS:   37 08:02:13       -6.161444        0.2096
BFGS:   38 08:02:13       -6.173196        0.2077
BFGS:   39 08:02:13       -6.184975        0.1700
BFGS:   40 08:02:13       -6.196630        0.1961
BFGS:   41 08:02:13       -6.204033        0.1394
BFGS:   42 08:02:14       -6.209647        0.1338
BFGS:   43 08:02:14       -6.214870        0.1803
BFGS:   44 08:02:14       -6.221183        0.1657
BFGS:   45 08:02:14       -6.229126        0.1507
BFGS:   46 08:02:14       -6.234959        0.1108
BFGS:   47 08:02:15       -6.239775        0.1284
BFGS:   48 08:02:15       -6.243913        0.1296
BFGS:   49 08:02:15       -6.248842        0.1221
BFGS:   50 08:02:15       -6.254497        0.1501
BFGS:   51 08:02:15       -6.259920        0.1587
BFGS:   52 08:02:15       -6.264661        0.1475
BFGS:   53 08:02:15       -6.268850        0.1149
BFGS:   54 08:02:15       -6.272888        0.1014
BFGS:   55 08:02:16       -6.276686        0.1173
BFGS:   56 08:02:16       -6.280013        0.1009
BFGS:   57 08:02:16       -6.282809        0.0871
BFGS:   58 08:02:16       -6.285469        0.1039
BFGS:   59 08:02:16       -6.288480        0.1061
BFGS:   60 08:02:16       -6.291954        0.0928
BFGS:   61 08:02:16       -6.294994        0.0805
BFGS:   62 08:02:16       -6.297798        0.0811
BFGS:   63 08:02:16       -6.300149        0.0794
BFGS:   64 08:02:16       -6.302417        0.0853
BFGS:   65 08:02:17       -6.304714        0.0772
BFGS:   66 08:02:17       -6.307120        0.0902
BFGS:   67 08:02:17       -6.309625        0.0839
BFGS:   68 08:02:17       -6.312137        0.0850
BFGS:   69 08:02:17       -6.314480        0.0786
BFGS:   70 08:02:17       -6.316600        0.0674
BFGS:   71 08:02:17       -6.318597        0.0829
BFGS:   72 08:02:17       -6.320584        0.0797
BFGS:   73 08:02:17       -6.322516        0.0668
BFGS:   74 08:02:18       -6.324270        0.0668
BFGS:   75 08:02:18       -6.325855        0.0713
BFGS:   76 08:02:18       -6.327425        0.0589
BFGS:   77 08:02:18       -6.329109        0.0752
BFGS:   78 08:02:18       -6.330976        0.0733
BFGS:   79 08:02:18       -6.332994        0.0922
BFGS:   80 08:02:18       -6.335320        0.1049
BFGS:   81 08:02:19       -6.337946        0.0882
BFGS:   82 08:02:19       -6.340707        0.0699
BFGS:   83 08:02:19       -6.342902        0.0750
BFGS:   84 08:02:19       -6.344800        0.0657
BFGS:   85 08:02:19       -6.346331        0.0646
BFGS:   86 08:02:19       -6.347799        0.0623
BFGS:   87 08:02:19       -6.349196        0.0512
BFGS:   88 08:02:20       -6.350645        0.0851
BFGS:   89 08:02:20       -6.352092        0.0748
BFGS:   90 08:02:20       -6.353639        0.0852
BFGS:   91 08:02:20       -6.355132        0.0715
BFGS:   92 08:02:21       -6.356613        0.0663
BFGS:   93 08:02:21       -6.357952        0.0632
BFGS:   94 08:02:21       -6.359216        0.0494
Optimization complete!
Performing a relaxed scan over 20 steps...
      Step     Time          Energy         fmax
BFGS:    0 08:02:21       -6.241587        3.1767
BFGS:    1 08:02:21       -6.308825        2.2208
BFGS:    2 08:02:21       -6.336128        1.9964
BFGS:    3 08:02:21       -6.306245        3.0032
BFGS:    4 08:02:22       -6.338632        0.3634
BFGS:    5 08:02:22       -6.343205        0.1955
BFGS:    6 08:02:22       -6.346359        0.1725
BFGS:    7 08:02:22       -6.346796        0.1049
BFGS:    8 08:02:22       -6.347541        0.0982
BFGS:    9 08:02:22       -6.348512        0.1309
BFGS:   10 08:02:22       -6.349566        0.0692
BFGS:   11 08:02:22       -6.350783        0.0619
BFGS:   12 08:02:23       -6.351998        0.0683
BFGS:   13 08:02:23       -6.352898        0.0983
BFGS:   14 08:02:23       -6.353710        0.0829
BFGS:   15 08:02:23       -6.354274        0.0639
BFGS:   16 08:02:23       -6.354899        0.0613
BFGS:   17 08:02:23       -6.355641        0.0826
BFGS:   18 08:02:23       -6.356467        0.1098
BFGS:   19 08:02:24       -6.357497        0.1228
BFGS:   20 08:02:24       -6.358747        0.1151
BFGS:   21 08:02:24       -6.360090        0.0901
BFGS:   22 08:02:24       -6.361602        0.1243
