Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 08:02:56       -4.340349        5.2988
BFGS:    1 08:02:56       -4.906188        8.0542
BFGS:    2 08:02:56       -5.305334        2.9560
BFGS:    3 08:02:57       -5.460690        1.3242
BFGS:    4 08:02:57       -5.571279        0.4572
BFGS:    5 08:02:57       -5.669198        1.1172
BFGS:    6 08:02:57       -5.718557        0.5911
BFGS:    7 08:02:57       -5.761983        0.3262
BFGS:    8 08:02:57       -5.793765        0.4539
BFGS:    9 08:02:57       -5.826591        0.4765
BFGS:   10 08:02:58       -5.858813        0.3786
BFGS:   11 08:02:58       -5.890114        0.3057
BFGS:   12 08:02:58       -5.916315        0.3749
BFGS:   13 08:02:58       -5.935080        0.3533
BFGS:   14 08:02:58       -5.950386        0.2487
BFGS:   15 08:02:58       -5.966438        0.2471
BFGS:   16 08:02:58       -5.984314        0.2756
BFGS:   17 08:02:59       -5.997522        0.2146
BFGS:   18 08:02:59       -6.007731        0.1698
BFGS:   19 08:02:59       -6.016963        0.2138
BFGS:   20 08:02:59       -6.026478        0.2118
BFGS:   21 08:02:59       -6.034776        0.1968
BFGS:   22 08:02:59       -6.041776        0.1310
BFGS:   23 08:02:59       -6.048243        0.1319
BFGS:   24 08:02:59       -6.054459        0.1589
BFGS:   25 08:03:00       -6.059928        0.1165
BFGS:   26 08:03:00       -6.064744        0.1122
BFGS:   27 08:03:00       -6.069829        0.1618
BFGS:   28 08:03:00       -6.076024        0.1697
BFGS:   29 08:03:00       -6.083011        0.1417
BFGS:   30 08:03:00       -6.090132        0.1327
BFGS:   31 08:03:00       -6.097583        0.1388
BFGS:   32 08:03:00       -6.105800        0.1763
BFGS:   33 08:03:00       -6.114668        0.1720
BFGS:   34 08:03:00       -6.124269        0.1654
BFGS:   35 08:03:01       -6.135478        0.1907
BFGS:   36 08:03:01       -6.148175        0.1914
BFGS:   37 08:03:01       -6.161448        0.2096
BFGS:   38 08:03:01       -6.173198        0.2077
BFGS:   39 08:03:01       -6.184978        0.1700
BFGS:   40 08:03:01       -6.196635        0.1963
BFGS:   41 08:03:01       -6.204041        0.1391
BFGS:   42 08:03:01       -6.209658        0.1337
BFGS:   43 08:03:01       -6.214873        0.1808
BFGS:   44 08:03:01       -6.221180        0.1665
BFGS:   45 08:03:02       -6.229134        0.1507
BFGS:   46 08:03:02       -6.234959        0.1110
BFGS:   47 08:03:02       -6.239779        0.1284
BFGS:   48 08:03:02       -6.243912        0.1296
BFGS:   49 08:03:02       -6.248843        0.1221
BFGS:   50 08:03:02       -6.254499        0.1500
BFGS:   51 08:03:02       -6.259921        0.1587
BFGS:   52 08:03:02       -6.264664        0.1474
BFGS:   53 08:03:02       -6.268852        0.1150
BFGS:   54 08:03:02       -6.272888        0.1014
BFGS:   55 08:03:02       -6.276684        0.1176
BFGS:   56 08:03:03       -6.280002        0.1020
BFGS:   57 08:03:03       -6.282787        0.0877
BFGS:   58 08:03:03       -6.285459        0.1022
BFGS:   59 08:03:03       -6.288501        0.1056
BFGS:   60 08:03:03       -6.291942        0.0927
BFGS:   61 08:03:03       -6.294990        0.0796
BFGS:   62 08:03:03       -6.297800        0.0807
BFGS:   63 08:03:03       -6.300148        0.0792
BFGS:   64 08:03:03       -6.302414        0.0853
BFGS:   65 08:03:04       -6.304713        0.0767
BFGS:   66 08:03:04       -6.307118        0.0902
BFGS:   67 08:03:04       -6.309624        0.0838
BFGS:   68 08:03:04       -6.312134        0.0857
BFGS:   69 08:03:04       -6.314478        0.0793
BFGS:   70 08:03:04       -6.316599        0.0671
BFGS:   71 08:03:04       -6.318597        0.0828
BFGS:   72 08:03:05       -6.320582        0.0798
BFGS:   73 08:03:05       -6.322515        0.0668
BFGS:   74 08:03:05       -6.324269        0.0671
BFGS:   75 08:03:05       -6.325851        0.0714
BFGS:   76 08:03:05       -6.327419        0.0589
BFGS:   77 08:03:05       -6.329099        0.0754
BFGS:   78 08:03:05       -6.330959        0.0741
BFGS:   79 08:03:05       -6.332979        0.0920
BFGS:   80 08:03:05       -6.335328        0.1032
BFGS:   81 08:03:06       -6.337975        0.0878
BFGS:   82 08:03:06       -6.340692        0.0699
BFGS:   83 08:03:06       -6.342913        0.0750
BFGS:   84 08:03:06       -6.344801        0.0653
BFGS:   85 08:03:06       -6.346331        0.0645
BFGS:   86 08:03:06       -6.347793        0.0626
BFGS:   87 08:03:06       -6.349188        0.0507
BFGS:   88 08:03:06       -6.350632        0.0849
BFGS:   89 08:03:06       -6.352079        0.0745
BFGS:   90 08:03:06       -6.353640        0.0848
BFGS:   91 08:03:07       -6.355136        0.0713
BFGS:   92 08:03:07       -6.356615        0.0660
BFGS:   93 08:03:07       -6.357957        0.0631
BFGS:   94 08:03:07       -6.359219        0.0495
Optimization complete!
Performing a relaxed scan over 20 steps...
      Step     Time          Energy         fmax
BFGS:    0 08:03:07       -6.152497        5.6095
BFGS:    1 08:03:07       -6.251123        5.5880
BFGS:    2 08:03:08       -6.298739        2.2795
BFGS:    3 08:03:08       -6.320825        1.4604
BFGS:    4 08:03:08       -6.343921        0.2789
BFGS:    5 08:03:08       -6.344100        0.1570
