Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 08:02:09       -4.340349        5.2988
BFGS:    1 08:02:09       -4.906188        8.0542
BFGS:    2 08:02:09       -5.305334        2.9560
BFGS:    3 08:02:10       -5.460691        1.3242
BFGS:    4 08:02:10       -5.571280        0.4572
BFGS:    5 08:02:10       -5.669197        1.1172
BFGS:    6 08:02:10       -5.718557        0.5911
BFGS:    7 08:02:10       -5.761983        0.3262
BFGS:    8 08:02:10       -5.793765        0.4539
BFGS:    9 08:02:10       -5.826591        0.4765
BFGS:   10 08:02:11       -5.858813        0.3786
BFGS:   11 08:02:11       -5.890116        0.3057
BFGS:   12 08:02:11       -5.916316        0.3749
BFGS:   13 08:02:11       -5.935080        0.3533
BFGS:   14 08:02:11       -5.950387        0.2487
BFGS:   15 08:02:11       -5.966438        0.2471
BFGS:   16 08:02:11       -5.984314        0.2756
BFGS:   17 08:02:11       -5.997521        0.2146
BFGS:   18 08:02:11       -6.007731        0.1698
BFGS:   19 08:02:12       -6.016963        0.2138
BFGS:   20 08:02:12       -6.026478        0.2118
BFGS:   21 08:02:12       -6.034776        0.1970
BFGS:   22 08:02:12       -6.041777        0.1310
BFGS:   23 08:02:12       -6.048243        0.1319
BFGS:   24 08:02:13       -6.054460        0.1589
BFGS:   25 08:02:13       -6.059928        0.1165
BFGS:   26 08:02:13       -6.064745        0.1122
BFGS:   27 08:02:13       -6.069831        0.1617
BFGS:   28 08:02:13       -6.076025        0.1697
BFGS:   29 08:02:13       -6.083011        0.1416
BFGS:   30 08:02:13       -6.090131        0.1327
BFGS:   31 08:02:13       -6.097584        0.1388
BFGS:   32 08:02:13       -6.105800        0.1763
BFGS:   33 08:02:14       -6.114670        0.1720
BFGS:   34 08:02:14       -6.124268        0.1654
BFGS:   35 08:02:14       -6.135479        0.1908
BFGS:   36 08:02:14       -6.148173        0.1915
BFGS:   37 08:02:14       -6.161448        0.2095
BFGS:   38 08:02:14       -6.173198        0.2077
BFGS:   39 08:02:14       -6.184974        0.1700
BFGS:   40 08:02:15       -6.196633        0.1961
BFGS:   41 08:02:15       -6.204031        0.1395
BFGS:   42 08:02:15       -6.209646        0.1338
BFGS:   43 08:02:16       -6.214869        0.1802
BFGS:   44 08:02:16       -6.221185        0.1656
BFGS:   45 08:02:16       -6.229123        0.1507
BFGS:   46 08:02:16       -6.234961        0.1108
BFGS:   47 08:02:17       -6.239772        0.1284
BFGS:   48 08:02:17       -6.243913        0.1296
BFGS:   49 08:02:17       -6.248841        0.1221
BFGS:   50 08:02:17       -6.254496        0.1501
BFGS:   51 08:02:17       -6.259920        0.1587
BFGS:   52 08:02:17       -6.264662        0.1475
BFGS:   53 08:02:17       -6.268851        0.1149
BFGS:   54 08:02:18       -6.272888        0.1014
