Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 00:47:26       -2.021747        3.6014
BFGS:    1 00:47:26       -3.323146        4.0165
BFGS:    2 00:47:26       -3.631598        2.4528
BFGS:    3 00:47:26       -3.819486        0.8982
BFGS:    4 00:47:26       -3.909268        0.5193
BFGS:    5 00:47:26       -3.966004        0.5787
BFGS:    6 00:47:26       -4.036724        0.6063
BFGS:    7 00:47:26       -4.103498        0.6128
BFGS:    8 00:47:26       -4.153972        0.4179
BFGS:    9 00:47:26       -4.183931        0.3280
BFGS:   10 00:47:26       -4.204682        0.4257
BFGS:   11 00:47:26       -4.225046        0.3926
BFGS:   12 00:47:26       -4.239838        0.2424
BFGS:   13 00:47:26       -4.252913        0.2003
BFGS:   14 00:47:26       -4.266158        0.2794
BFGS:   15 00:47:26       -4.279511        0.3779
BFGS:   16 00:47:26       -4.292702        0.3343
BFGS:   17 00:47:27       -4.305634        0.2517
BFGS:   18 00:47:27       -4.317318        0.2099
BFGS:   19 00:47:27       -4.326261        0.2010
BFGS:   20 00:47:27       -4.332092        0.1482
BFGS:   21 00:47:27       -4.335997        0.1166
BFGS:   22 00:47:27       -4.339225        0.1134
BFGS:   23 00:47:27       -4.343500        0.1785
BFGS:   24 00:47:27       -4.349770        0.2157
BFGS:   25 00:47:27       -4.357325        0.1878
BFGS:   26 00:47:27       -4.364035        0.1527
BFGS:   27 00:47:27       -4.369482        0.1232
BFGS:   28 00:47:27       -4.374897        0.1561
BFGS:   29 00:47:27       -4.381707        0.1842
BFGS:   30 00:47:27       -4.388427        0.1481
BFGS:   31 00:47:27       -4.393320        0.2837
BFGS:   32 00:47:27       -4.396974        0.1582
BFGS:   33 00:47:27       -4.399944        0.1458
BFGS:   34 00:47:27       -4.402846        0.0931
BFGS:   35 00:47:27       -4.405521        0.0845
BFGS:   36 00:47:27       -4.407331        0.0784
BFGS:   37 00:47:27       -4.409289        0.0837
BFGS:   38 00:47:27       -4.411202        0.0612
BFGS:   39 00:47:27       -4.413040        0.0748
BFGS:   40 00:47:27       -4.414662        0.0686
BFGS:   41 00:47:27       -4.416206        0.0569
BFGS:   42 00:47:28       -4.417798        0.0543
BFGS:   43 00:47:28       -4.419423        0.0807
