Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 00:48:01       -2.021747        3.6014
BFGS:    1 00:48:01       -3.323145        4.0165
BFGS:    2 00:48:01       -3.631598        2.4528
BFGS:    3 00:48:02       -3.819486        0.8982
BFGS:    4 00:48:02       -3.909268        0.5193
BFGS:    5 00:48:02       -3.966005        0.5787
BFGS:    6 00:48:02       -4.036724        0.6063
BFGS:    7 00:48:02       -4.103497        0.6128
BFGS:    8 00:48:02       -4.153972        0.4179
BFGS:    9 00:48:02       -4.183933        0.3280
BFGS:   10 00:48:02       -4.204682        0.4257
BFGS:   11 00:48:02       -4.225046        0.3926
BFGS:   12 00:48:02       -4.239835        0.2425
BFGS:   13 00:48:02       -4.252912        0.2004
BFGS:   14 00:48:02       -4.266156        0.2794
BFGS:   15 00:48:02       -4.279509        0.3780
BFGS:   16 00:48:02       -4.292700        0.3343
BFGS:   17 00:48:02       -4.305633        0.2516
BFGS:   18 00:48:02       -4.317319        0.2099
BFGS:   19 00:48:02       -4.326260        0.2010
BFGS:   20 00:48:02       -4.332094        0.1482
BFGS:   21 00:48:02       -4.335997        0.1166
BFGS:   22 00:48:02       -4.339225        0.1134
BFGS:   23 00:48:02       -4.343500        0.1785
BFGS:   24 00:48:02       -4.349771        0.2157
BFGS:   25 00:48:02       -4.357326        0.1878
BFGS:   26 00:48:03       -4.364035        0.1526
BFGS:   27 00:48:03       -4.369481        0.1236
BFGS:   28 00:48:03       -4.374896        0.1561
BFGS:   29 00:48:03       -4.381701        0.1843
BFGS:   30 00:48:03       -4.388418        0.1482
BFGS:   31 00:48:03       -4.393313        0.2839
BFGS:   32 00:48:03       -4.396976        0.1550
BFGS:   33 00:48:03       -4.399948        0.1442
BFGS:   34 00:48:03       -4.402850        0.0933
BFGS:   35 00:48:03       -4.405525        0.0846
BFGS:   36 00:48:03       -4.407334        0.0784
BFGS:   37 00:48:03       -4.409294        0.0837
BFGS:   38 00:48:03       -4.411204        0.0612
BFGS:   39 00:48:03       -4.413041        0.0749
BFGS:   40 00:48:03       -4.414665        0.0685
BFGS:   41 00:48:03       -4.416208        0.0570
BFGS:   42 00:48:03       -4.417799        0.0544
BFGS:   43 00:48:03       -4.419424        0.0808
BFGS:   44 00:48:03       -4.421175        0.0838
