Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 00:47:08       -2.021747        3.6014
BFGS:    1 00:47:08       -3.323146        4.0165
BFGS:    2 00:47:08       -3.631599        2.4528
BFGS:    3 00:47:08       -3.819486        0.8982
BFGS:    4 00:47:08       -3.909267        0.5193
BFGS:    5 00:47:08       -3.966005        0.5787
BFGS:    6 00:47:08       -4.036724        0.6063
BFGS:    7 00:47:08       -4.103496        0.6128
BFGS:    8 00:47:08       -4.153971        0.4179
BFGS:    9 00:47:08       -4.183932        0.3280
BFGS:   10 00:47:08       -4.204682        0.4258
BFGS:   11 00:47:08       -4.225044        0.3926
BFGS:   12 00:47:08       -4.239835        0.2425
BFGS:   13 00:47:08       -4.252910        0.2004
BFGS:   14 00:47:08       -4.266152        0.2795
BFGS:   15 00:47:09       -4.279503        0.3781
BFGS:   16 00:47:09       -4.292695        0.3343
BFGS:   17 00:47:09       -4.305637        0.2515
BFGS:   18 00:47:09       -4.317320        0.2099
BFGS:   19 00:47:09       -4.326259        0.2010
BFGS:   20 00:47:09       -4.332094        0.1481
BFGS:   21 00:47:09       -4.335995        0.1166
BFGS:   22 00:47:09       -4.339224        0.1134
BFGS:   23 00:47:09       -4.343500        0.1785
BFGS:   24 00:47:09       -4.349771        0.2156
BFGS:   25 00:47:09       -4.357325        0.1878
BFGS:   26 00:47:09       -4.364033        0.1527
BFGS:   27 00:47:09       -4.369481        0.1236
BFGS:   28 00:47:09       -4.374897        0.1561
BFGS:   29 00:47:09       -4.381702        0.1843
BFGS:   30 00:47:09       -4.388422        0.1481
BFGS:   31 00:47:09       -4.393319        0.2832
BFGS:   32 00:47:09       -4.396974        0.1571
BFGS:   33 00:47:09       -4.399947        0.1440
BFGS:   34 00:47:09       -4.402847        0.0931
BFGS:   35 00:47:09       -4.405524        0.0845
BFGS:   36 00:47:09       -4.407331        0.0784
BFGS:   37 00:47:09       -4.409293        0.0836
BFGS:   38 00:47:10       -4.411204        0.0612
BFGS:   39 00:47:10       -4.413041        0.0749
BFGS:   40 00:47:10       -4.414664        0.0685
BFGS:   41 00:47:10       -4.416207        0.0570
BFGS:   42 00:47:10       -4.417799        0.0543
BFGS:   43 00:47:10       -4.419425        0.0808
BFGS:   44 00:47:10       -4.421175        0.0837
BFGS:   45 00:47:10       -4.423065        0.0977
BFGS:   46 00:47:10       -4.425127        0.1239
BFGS:   47 00:47:10       -4.427389        0.1160
BFGS:   48 00:47:10       -4.429917        0.0973
BFGS:   49 00:47:10       -4.432573        0.0875
BFGS:   50 00:47:10       -4.435192        0.0836
BFGS:   51 00:47:10       -4.437561        0.0832
BFGS:   52 00:47:10       -4.439586        0.0827
BFGS:   53 00:47:10       -4.441278        0.0602
BFGS:   54 00:47:10       -4.442666        0.1030
BFGS:   55 00:47:10       -4.443831        0.0865
BFGS:   56 00:47:10       -4.444944        0.0647
BFGS:   57 00:47:10       -4.446045        0.0633
BFGS:   58 00:47:10       -4.447006        0.0497
Optimization complete!
Performing a relaxed scan over 20 steps...
      Step     Time          Energy         fmax
BFGS:    0 00:47:11       -4.227632        5.8013
BFGS:    1 00:47:11       -4.318267        5.8174
BFGS:    2 00:47:11       -4.380621        2.3166
BFGS:    3 00:47:11       -4.401211        1.6442
BFGS:    4 00:47:11       -4.429253        0.2793
BFGS:    5 00:47:11       -4.428679        0.1678
BFGS:    6 00:47:11       -4.429924        0.1274
BFGS:    7 00:47:11       -4.431150        0.0685
BFGS:    8 00:47:11       -4.432020        0.0655
BFGS:    9 00:47:11       -4.433084        0.0900
BFGS:   10 00:47:11       -4.433847        0.1010
BFGS:   11 00:47:11       -4.434445        0.0694
BFGS:   12 00:47:11       -4.435123        0.0756
BFGS:   13 00:47:11       -4.436203        0.0981
BFGS:   14 00:47:11       -4.437545        0.0970
BFGS:   15 00:47:11       -4.438945        0.0806
BFGS:   16 00:47:11       -4.440112        0.0713
BFGS:   17 00:47:11       -4.441016        0.0787
BFGS:   18 00:47:11       -4.441846        0.0847
BFGS:   19 00:47:11       -4.442550        0.1002
BFGS:   20 00:47:11       -4.443194        0.0816
BFGS:   21 00:47:11       -4.443845        0.0673
BFGS:   22 00:47:11       -4.444552        0.0671
BFGS:   23 00:47:11       -4.445312        0.0527
BFGS:   24 00:47:11       -4.446128        0.0540
BFGS:   25 00:47:11       -4.446982        0.0593
BFGS:   26 00:47:12       -4.447705        0.0662
BFGS:   27 00:47:12       -4.448140        0.0524
BFGS:   28 00:47:12       -4.448382        0.0432
      Step     Time          Energy         fmax
BFGS:    0 00:47:12       -4.135896        6.9068
BFGS:    1 00:47:12       -4.273531        7.9286
BFGS:    2 00:47:12       -4.342488        2.4185
BFGS:    3 00:47:12       -4.376101        1.8182
BFGS:    4 00:47:12       -4.412221        0.3164
BFGS:    5 00:47:12       -4.410461        0.1919
BFGS:    6 00:47:12       -4.411723        0.1247
BFGS:    7 00:47:12       -4.412745        0.0609
BFGS:    8 00:47:12       -4.413452        0.0567
BFGS:    9 00:47:12       -4.413804        0.0625
BFGS:   10 00:47:12       -4.413705        0.0550
BFGS:   11 00:47:12       -4.413729        0.0417
      Step     Time          Energy         fmax
BFGS:    0 00:47:12       -3.944744        8.4553
BFGS:    1 00:47:12       -4.176485       10.7619
BFGS:    2 00:47:12       -4.248183        2.5213
BFGS:    3 00:47:12       -4.303277        1.9737
BFGS:    4 00:47:12       -4.348802        0.3672
BFGS:    5 00:47:12       -4.345592        0.2396
BFGS:    6 00:47:12       -4.347193        0.1568
BFGS:    7 00:47:12       -4.348410        0.0696
BFGS:    8 00:47:12       -4.349448        0.0758
BFGS:    9 00:47:12       -4.350044        0.0887
BFGS:   10 00:47:12       -4.349832        0.0932
BFGS:   11 00:47:13       -4.349850        0.0842
BFGS:   12 00:47:13       -4.349787        0.0803
BFGS:   13 00:47:13       -4.350638        0.0993
BFGS:   14 00:47:13       -4.351944        0.1036
BFGS:   15 00:47:13       -4.353583        0.0869
BFGS:   16 00:47:13       -4.354949        0.0769
BFGS:   17 00:47:13       -4.355525        0.0846
BFGS:   18 00:47:13       -4.355859        0.0868
BFGS:   19 00:47:13       -4.356045        0.1124
BFGS:   20 00:47:13       -4.356336        0.1051
BFGS:   21 00:47:13       -4.356961        0.0729
BFGS:   22 00:47:13       -4.357858        0.0849
BFGS:   23 00:47:13       -4.358821        0.0719
BFGS:   24 00:47:13       -4.359837        0.0603
BFGS:   25 00:47:13       -4.360777        0.0730
BFGS:   26 00:47:13       -4.361591        0.0839
