Optimizing input structure...
      Step     Time          Energy         fmax
BFGS:    0 00:46:34       -2.021746        3.6014
BFGS:    1 00:46:34       -3.323146        4.0165
BFGS:    2 00:46:34       -3.631598        2.4528
BFGS:    3 00:46:34       -3.819486        0.8982
BFGS:    4 00:46:34       -3.909268        0.5193
BFGS:    5 00:46:34       -3.966004        0.5787
BFGS:    6 00:46:34       -4.036724        0.6063
BFGS:    7 00:46:34       -4.103498        0.6128
BFGS:    8 00:46:34       -4.153972        0.4179
BFGS:    9 00:46:35       -4.183932        0.3280
BFGS:   10 00:46:35       -4.204681        0.4257
BFGS:   11 00:46:35       -4.225045        0.3926
BFGS:   12 00:46:35       -4.239834        0.2425
BFGS:   13 00:46:35       -4.252911        0.2004
BFGS:   14 00:46:35       -4.266153        0.2794
BFGS:   15 00:46:35       -4.279506        0.3781
BFGS:   16 00:46:35       -4.292699        0.3343
BFGS:   17 00:46:35       -4.305634        0.2516
BFGS:   18 00:46:35       -4.317319        0.2099
BFGS:   19 00:46:35       -4.326258        0.2010
BFGS:   20 00:46:35       -4.332093        0.1482
BFGS:   21 00:46:35       -4.335996        0.1166
BFGS:   22 00:46:35       -4.339224        0.1133
BFGS:   23 00:46:35       -4.343499        0.1785
BFGS:   24 00:46:35       -4.349770        0.2157
BFGS:   25 00:46:35       -4.357323        0.1878
BFGS:   26 00:46:35       -4.364031        0.1526
BFGS:   27 00:46:35       -4.369475        0.1249
BFGS:   28 00:46:35       -4.374890        0.1561
BFGS:   29 00:46:35       -4.381685        0.1846
BFGS:   30 00:46:35       -4.388394        0.1485
BFGS:   31 00:46:36       -4.393301        0.2827
BFGS:   32 00:46:36       -4.396978        0.1500
BFGS:   33 00:46:36       -4.399954        0.1391
BFGS:   34 00:46:36       -4.402859        0.0935
BFGS:   35 00:46:36       -4.405532        0.0847
BFGS:   36 00:46:36       -4.407336        0.0785
BFGS:   37 00:46:36       -4.409300        0.0836
BFGS:   38 00:46:36       -4.411212        0.0613
BFGS:   39 00:46:36       -4.413048        0.0750
BFGS:   40 00:46:36       -4.414669        0.0680
BFGS:   41 00:46:36       -4.416214        0.0571
BFGS:   42 00:46:36       -4.417804        0.0546
BFGS:   43 00:46:36       -4.419428        0.0807
BFGS:   44 00:46:36       -4.421177        0.0839
BFGS:   45 00:46:36       -4.423067        0.0974
BFGS:   46 00:46:36       -4.425128        0.1243
BFGS:   47 00:46:36       -4.427392        0.1156
BFGS:   48 00:46:36       -4.429928        0.0969
BFGS:   49 00:46:36       -4.432583        0.0871
BFGS:   50 00:46:36       -4.435203        0.0840
BFGS:   51 00:46:36       -4.437571        0.0835
BFGS:   52 00:46:36       -4.439596        0.0814
BFGS:   53 00:46:36       -4.441295        0.0796
BFGS:   54 00:46:36       -4.442698        0.0650
BFGS:   55 00:46:36       -4.443920        0.0781
BFGS:   56 00:46:36       -4.445087        0.0786
BFGS:   57 00:46:36       -4.446143        0.0596
BFGS:   58 00:46:36       -4.446967        0.0789
BFGS:   59 00:46:36       -4.447654        0.0704
BFGS:   60 00:46:36       -4.448289        0.0636
BFGS:   61 00:46:36       -4.448945        0.0419
Optimization complete!
Performing a relaxed scan over 20 steps...
      Step     Time          Energy         fmax
BFGS:    0 00:46:37       -4.326961        3.2131
BFGS:    1 00:46:37       -4.395007        2.3399
BFGS:    2 00:46:37       -4.426737        1.8563
BFGS:    3 00:46:37       -4.395084        3.3270
BFGS:    4 00:46:37       -4.431039        0.2910
BFGS:    5 00:46:37       -4.434142        0.1881
BFGS:    6 00:46:37       -4.436504        0.1634
BFGS:    7 00:46:37       -4.436658        0.0747
BFGS:    8 00:46:37       -4.436986        0.1050
BFGS:    9 00:46:37       -4.437875        0.1045
BFGS:   10 00:46:37       -4.438461        0.0449
      Step     Time          Energy         fmax
BFGS:    0 00:46:37       -4.224267        4.1302
BFGS:    1 00:46:37       -4.352550        2.7706
BFGS:    2 00:46:37       -4.394119        1.3452
BFGS:    3 00:46:37       -4.363189        3.6168
BFGS:    4 00:46:37       -4.393315        0.3933
BFGS:    5 00:46:37       -4.398776        0.2416
BFGS:    6 00:46:37       -4.401051        0.2025
BFGS:    7 00:46:37       -4.400260        0.1012
BFGS:    8 00:46:37       -4.400154        0.1143
BFGS:    9 00:46:37       -4.401486        0.1258
BFGS:   10 00:46:37       -4.402387        0.0675
BFGS:   11 00:46:37       -4.403861        0.0578
BFGS:   12 00:46:37       -4.404879        0.0738
BFGS:   13 00:46:38       -4.405576        0.1126
BFGS:   14 00:46:38       -4.406015        0.0958
BFGS:   15 00:46:38       -4.406486        0.0506
BFGS:   16 00:46:38       -4.406691        0.0426
      Step     Time          Energy         fmax
BFGS:    0 00:46:38       -4.107232        4.8716
BFGS:    1 00:46:38       -4.300488        3.0841
BFGS:    2 00:46:38       -4.343629        0.7016
BFGS:    3 00:46:38       -4.333539        1.3304
BFGS:    4 00:46:38       -4.332324        0.8100
BFGS:    5 00:46:38       -4.347182        0.2803
BFGS:    6 00:46:38       -4.350112        0.1218
BFGS:    7 00:46:38       -4.349638        0.1749
BFGS:    8 00:46:38       -4.348446        0.1093
BFGS:    9 00:46:38       -4.349595        0.0685
BFGS:   10 00:46:38       -4.350231        0.0687
BFGS:   11 00:46:38       -4.351271        0.0730
BFGS:   12 00:46:38       -4.352031        0.1003
BFGS:   13 00:46:38       -4.353169        0.1609
BFGS:   14 00:46:38       -4.354319        0.1657
BFGS:   15 00:46:38       -4.355723        0.1233
BFGS:   16 00:46:38       -4.356357        0.0904
BFGS:   17 00:46:38       -4.357100        0.0883
BFGS:   18 00:46:38       -4.357713        0.1540
BFGS:   19 00:46:38       -4.358558        0.1849
BFGS:   20 00:46:38       -4.360261        0.1760
BFGS:   21 00:46:39       -4.361839        0.1231
BFGS:   22 00:46:39       -4.364126        0.0996
BFGS:   23 00:46:39       -4.366868        0.1242
BFGS:   24 00:46:39       -4.369668        0.1131
BFGS:   25 00:46:39       -4.372716        0.0773
BFGS:   26 00:46:39       -4.374168        0.0772
BFGS:   27 00:46:39       -4.375510        0.0780
BFGS:   28 00:46:39       -4.376361        0.0968
BFGS:   29 00:46:39       -4.376974        0.0826
BFGS:   30 00:46:39       -4.377391        0.0531
BFGS:   31 00:46:39       -4.377730        0.0425
      Step     Time          Energy         fmax
BFGS:    0 00:46:39       -4.122460        3.9638
BFGS:    1 00:46:39       -4.290562        2.0431
BFGS:    2 00:46:39       -4.308575        1.3593
BFGS:    3 00:46:39       -4.288713        3.4619
BFGS:    4 00:46:39       -4.310080        0.4595
BFGS:    5 00:46:39       -4.319202        0.1986
BFGS:    6 00:46:39       -4.321661        0.1803
BFGS:    7 00:46:39       -4.319826        0.1114
BFGS:    8 00:46:39       -4.319769        0.1095
BFGS:    9 00:46:39       -4.321012        0.0828
BFGS:   10 00:46:39       -4.321391        0.0619
BFGS:   11 00:46:39       -4.322885        0.0447
      Step     Time          Energy         fmax
BFGS:    0 00:46:39       -3.961911        4.6043
BFGS:    1 00:46:39       -4.218699        2.7230
BFGS:    2 00:46:39       -4.224311        2.6860
BFGS:    3 00:46:40       -4.162352        3.8856
BFGS:    4 00:46:40       -4.229352        0.5015
BFGS:    5 00:46:40       -4.241086        0.2328
BFGS:    6 00:46:40       -4.242699        0.2385
BFGS:    7 00:46:40       -4.238792        0.1278
BFGS:    8 00:46:40       -4.238299        0.1156
BFGS:    9 00:46:40       -4.239314        0.1004
BFGS:   10 00:46:40       -4.239897        0.1124
BFGS:   11 00:46:40       -4.242507        0.0696
BFGS:   12 00:46:40       -4.244170        0.0831
BFGS:   13 00:46:40       -4.245189        0.1338
BFGS:   14 00:46:40       -4.245319        0.1136
BFGS:   15 00:46:40       -4.245232        0.0638
BFGS:   16 00:46:40       -4.245186        0.0568
BFGS:   17 00:46:40       -4.245609        0.0823
BFGS:   18 00:46:40       -4.246090        0.1222
BFGS:   19 00:46:40       -4.246855        0.1463
BFGS:   20 00:46:40       -4.247691        0.1470
BFGS:   21 00:46:40       -4.248116        0.1058
BFGS:   22 00:46:40       -4.248675        0.0980
BFGS:   23 00:46:40       -4.249413        0.1097
BFGS:   24 00:46:40       -4.251130        0.1107
BFGS:   25 00:46:40       -4.253951        0.1213
BFGS:   26 00:46:41       -4.256505        0.1184
BFGS:   27 00:46:41       -4.258926        0.1089
BFGS:   28 00:46:41       -4.260384        0.1327
BFGS:   29 00:46:41       -4.260870        0.1232
BFGS:   30 00:46:41       -4.260253        0.0981
BFGS:   31 00:46:41       -4.259860        0.0755
BFGS:   32 00:46:41       -4.260444        0.0715
BFGS:   33 00:46:41       -4.261528        0.0666
BFGS:   34 00:46:41       -4.263192        0.0573
BFGS:   35 00:46:41       -4.264222        0.0423
      Step     Time          Energy         fmax
BFGS:    0 00:46:41       -3.957857        3.7111
BFGS:    1 00:46:41       -4.180902        3.4761
BFGS:    2 00:46:41       -4.165733        4.2013
BFGS:    3 00:46:41       -4.137358        2.0376
BFGS:    4 00:46:41       -4.173587        0.6857
BFGS:    5 00:46:41       -4.186727        0.2294
BFGS:    6 00:46:41       -4.185284        0.2378
BFGS:    7 00:46:41       -4.182919        0.1474
BFGS:    8 00:46:41       -4.183371        0.0952
BFGS:    9 00:46:41       -4.183777        0.0761
BFGS:   10 00:46:41       -4.184766        0.0654
BFGS:   11 00:46:42       -4.186300        0.0518
BFGS:   12 00:46:42       -4.186546        0.0558
BFGS:   13 00:46:42       -4.186916        0.0937
BFGS:   14 00:46:42       -4.186599        0.0810
BFGS:   15 00:46:42       -4.186365        0.0510
BFGS:   16 00:46:42       -4.186310        0.0338
      Step     Time          Energy         fmax
BFGS:    0 00:46:42       -3.798060        4.1355
BFGS:    1 00:46:42       -4.096853        4.3723
BFGS:    2 00:46:42       -4.068037        5.0028
BFGS:    3 00:46:42       -4.025752        2.0959
BFGS:    4 00:46:42       -4.073718        0.8219
BFGS:    5 00:46:42       -4.090016        0.2546
BFGS:    6 00:46:42       -4.086295        0.2425
BFGS:    7 00:46:42       -4.082715        0.1741
BFGS:    8 00:46:42       -4.083264        0.1036
BFGS:    9 00:46:42       -4.083544        0.0851
BFGS:   10 00:46:42       -4.084740        0.0800
BFGS:   11 00:46:42       -4.086452        0.0605
BFGS:   12 00:46:42       -4.086620        0.0555
BFGS:   13 00:46:42       -4.087169        0.1110
BFGS:   14 00:46:42       -4.086673        0.1122
BFGS:   15 00:46:43       -4.086154        0.0920
BFGS:   16 00:46:43       -4.085687        0.0523
BFGS:   17 00:46:43       -4.085813        0.0491
      Step     Time          Energy         fmax
BFGS:    0 00:46:43       -3.635708        4.2945
BFGS:    1 00:46:43       -3.997217        5.4205
BFGS:    2 00:46:43       -3.964419        5.4779
BFGS:    3 00:46:43       -3.904439        1.8335
BFGS:    4 00:46:43       -3.957640        0.9017
BFGS:    5 00:46:43       -3.976471        0.2842
BFGS:    6 00:46:43       -3.970315        0.2382
BFGS:    7 00:46:43       -3.966088        0.1886
BFGS:    8 00:46:43       -3.966274        0.1117
BFGS:    9 00:46:43       -3.966631        0.0903
BFGS:   10 00:46:43       -3.968350        0.0885
BFGS:   11 00:46:43       -3.970526        0.0667
BFGS:   12 00:46:43       -3.970913        0.0765
BFGS:   13 00:46:44       -3.971747        0.1269
BFGS:   14 00:46:44       -3.971251        0.1619
BFGS:   15 00:46:44       -3.970375        0.1679
BFGS:   16 00:46:44       -3.969318        0.0986
BFGS:   17 00:46:44       -3.969334        0.0885
BFGS:   18 00:46:44       -3.970045        0.1199
BFGS:   19 00:46:44       -3.971453        0.1748
BFGS:   20 00:46:44       -3.972947        0.2015
BFGS:   21 00:46:44       -3.974356        0.1800
BFGS:   22 00:46:44       -3.975194        0.1224
