               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_1_energy_0_delta | MAE_energy_0 | MAE_energy_1 | MAE_energy_0_grad | MAE_energy_1_grad | GPU Memory (MB)
               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_1_energy_0_delta | MAE_energy_0 | MAE_energy_1 | GPU Memory (MB)
2022-06-20 14:18:34 |     1 |     1.000e-04 |     6.6051 |          3.5885 |                      1.7780 |      17.9840 |      18.0774 |            1848
2022-06-20 14:18:41 |     2 |     1.000e-04 |     3.2005 |          3.3749 |                      2.2148 |      11.6290 |      11.3292 |            1848
2022-06-20 14:18:48 |     3 |     1.000e-04 |     2.7136 |          2.8902 |                      2.0859 |       7.8918 |       7.9430 |            1848
               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_1_energy_0_delta | MAE_energy_0 | MAE_energy_1 | GPU Memory (MB)
2022-06-20 14:45:42 |     4 |     1.000e-04 |     3.5878 |          2.7594 |                      2.3651 |       3.7483 |       3.4908 |            1589
2022-06-20 14:47:42 |     5 |     1.000e-04 |     2.9082 |          2.7240 |                      2.3582 |       3.5558 |       2.9489 |            1589
2022-06-20 14:49:43 |     6 |     1.000e-04 |     2.7971 |          2.5797 |                      2.2175 |       3.3328 |       3.3037 |            1589
2022-06-20 14:51:43 |     7 |     1.000e-04 |     2.5566 |          2.5822 |                      2.1985 |       3.4382 |       3.5726 |            1589
2022-06-20 14:53:43 |     8 |     1.000e-04 |     2.5900 |          2.5443 |                      2.2174 |       3.0309 |       2.8579 |            1589
2022-06-20 14:55:44 |     9 |     1.000e-04 |     2.3159 |          2.3639 |                      2.0494 |       2.9630 |       2.7019 |            1589
2022-06-20 14:57:44 |    10 |     1.000e-04 |     2.3669 |          2.1791 |                      1.8482 |       3.2533 |       2.8372 |            1589
2022-06-20 14:59:44 |    11 |     1.000e-04 |     2.3281 |          2.0936 |                      1.7642 |       3.1482 |       3.0160 |            1589
2022-06-20 15:01:46 |    12 |     1.000e-04 |     2.2715 |          2.1679 |                      1.7460 |       4.0968 |       3.8889 |            1589
2022-06-20 15:03:46 |    13 |     1.000e-04 |     2.1105 |          1.9809 |                      1.6920 |       2.6680 |       2.6408 |            1589
2022-06-20 15:05:48 |    14 |     1.000e-04 |     2.0442 |          1.7852 |                      1.4993 |       2.6476 |       2.6181 |            1589
2022-06-20 15:08:04 |    15 |     1.000e-04 |     1.9359 |          1.7892 |                      1.5146 |       2.6799 |       2.4801 |            1589
2022-06-20 15:10:21 |    16 |     1.000e-04 |     1.8821 |          1.8681 |                      1.5861 |       2.7681 |       2.5160 |            1589
2022-06-20 15:12:40 |    17 |     1.000e-04 |     1.8307 |          1.7846 |                      1.5082 |       2.6158 |       2.4832 |            1589
2022-06-20 15:14:59 |    18 |     1.000e-04 |     1.7987 |          1.7431 |                      1.4349 |       2.8967 |       2.8140 |            1589
2022-06-20 15:17:15 |    19 |     1.000e-04 |     1.7341 |          1.5665 |                      1.3017 |       2.5571 |       2.3674 |            1589
2022-06-20 15:19:33 |    20 |     1.000e-04 |     1.6990 |          1.8075 |                      1.5329 |       2.4564 |       2.5412 |            1589
2022-06-20 15:21:51 |    21 |     1.000e-04 |     1.6740 |          1.7253 |                      1.4672 |       2.3309 |       2.3946 |            1589
2022-06-20 15:24:05 |    22 |     1.000e-04 |     1.6138 |          1.7565 |                      1.4921 |       2.3848 |       2.4551 |            1589
2022-06-20 15:26:24 |    23 |     1.000e-04 |     1.5869 |          1.6650 |                      1.3988 |       2.4751 |       2.3851 |            1589
2022-06-20 15:28:39 |    24 |     1.000e-04 |     1.5594 |          1.5765 |                      1.3164 |       2.4495 |       2.2889 |            1589
2022-06-20 15:30:58 |    25 |     1.000e-04 |     1.5181 |          1.7081 |                      1.4524 |       2.4136 |       2.4497 |            1589
2022-06-20 15:33:14 |    26 |     1.000e-04 |     1.4936 |          1.6168 |                      1.3635 |       2.3435 |       2.3132 |            1589
2022-06-20 15:35:30 |    27 |     1.000e-04 |     1.4743 |          1.6081 |                      1.3385 |       2.4496 |       2.5438 |            1589
2022-06-20 15:37:46 |    28 |     1.000e-04 |     1.4496 |          1.6535 |                      1.3655 |       2.7128 |       2.7050 |            1589
2022-06-20 15:39:52 |    29 |     1.000e-04 |     1.4411 |          1.5598 |                      1.3135 |       2.3001 |       2.2434 |            1589
2022-06-20 15:41:53 |    30 |     1.000e-04 |     1.4042 |          1.5532 |                      1.2994 |       2.5912 |       2.1995 |            1589
2022-06-20 15:43:52 |    31 |     1.000e-04 |     1.4153 |          1.8062 |                      1.5218 |       2.9572 |       2.4159 |            1589
2022-06-20 15:45:52 |    32 |     1.000e-04 |     1.3838 |          1.4711 |                      1.2461 |       2.0698 |       2.0306 |            1589
2022-06-20 15:47:52 |    33 |     1.000e-04 |     1.3560 |          1.4803 |                      1.2351 |       2.3436 |       2.2195 |            1589
2022-06-20 15:49:51 |    34 |     1.000e-04 |     1.3399 |          1.5330 |                      1.2910 |       2.4485 |       2.1292 |            1589
2022-06-20 15:51:51 |    35 |     1.000e-04 |     1.3290 |          1.5473 |                      1.3199 |       2.0853 |       2.0814 |            1589
2022-06-20 15:53:50 |    36 |     1.000e-04 |     1.3092 |          1.4629 |                      1.2209 |       2.2323 |       2.1658 |            1589
2022-06-20 15:55:47 |    37 |     1.000e-04 |     1.2962 |          1.4816 |                      1.2735 |       1.9368 |       1.9323 |            1589
2022-06-20 15:57:46 |    38 |     1.000e-04 |     1.2812 |          1.4507 |                      1.1624 |       2.9443 |       2.5739 |            1589
2022-06-20 15:59:46 |    39 |     1.000e-04 |     1.2784 |          1.5633 |                      1.3290 |       2.3756 |       1.9922 |            1589
