               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_0 | MAE_energy_0_grad | GPU Memory (MB)
2022-05-31 09:46:06 |     1 |     1.000e-04 |     2.4774 |          2.0532 |       3.9658 |            1.2622 |            2966
2022-05-31 09:49:24 |     2 |     1.000e-04 |     2.0006 |          1.8778 |       3.5589 |            1.1658 |            2967
2022-05-31 09:52:45 |     3 |     1.000e-04 |     1.8636 |          1.7722 |       3.3372 |            1.1036 |            2967
2022-05-31 09:56:04 |     4 |     1.000e-04 |     1.7862 |          1.7178 |       3.1841 |            1.0809 |            2967
2022-05-31 09:59:32 |     5 |     1.000e-04 |     1.7196 |          1.8122 |       3.7415 |            1.0652 |            2967
2022-05-31 10:02:52 |     6 |     1.000e-04 |     1.6566 |          1.6082 |       2.9030 |            1.0290 |            2967
2022-05-31 10:06:13 |     7 |     1.000e-04 |     1.6090 |          2.2661 |       6.3695 |            0.9903 |            2967
2022-05-31 10:09:32 |     8 |     1.000e-04 |     1.5656 |          1.9392 |       4.8509 |            0.9647 |            2967
2022-05-31 10:12:52 |     9 |     1.000e-04 |     1.5469 |          1.5010 |       2.6884 |            0.9647 |            2967
2022-05-31 10:16:13 |    10 |     1.000e-04 |     1.4967 |          1.4758 |       2.6714 |            0.9425 |            2967
2022-05-31 10:19:31 |    11 |     1.000e-04 |     1.4822 |          1.7503 |       3.9125 |            0.9660 |            2967
2022-05-31 10:22:50 |    12 |     1.000e-04 |     1.4740 |          1.4318 |       2.5465 |            0.9234 |            2967
2022-05-31 10:26:13 |    13 |     1.000e-04 |     1.4372 |          1.5426 |       3.0409 |            0.9360 |            2967
2022-05-31 10:29:32 |    14 |     1.000e-04 |     1.4218 |          1.4487 |       2.5537 |            0.9382 |            2967
2022-05-31 10:32:51 |    15 |     1.000e-04 |     1.4076 |          1.3264 |       2.0553 |            0.9157 |            2967
2022-05-31 10:36:08 |    16 |     1.000e-04 |     1.3787 |          1.3178 |       2.1458 |            0.8900 |            2967
2022-05-31 10:39:27 |    17 |     1.000e-04 |     1.3755 |          1.3350 |       2.1830 |            0.8987 |            2967
2022-05-31 10:42:44 |    18 |     1.000e-04 |     1.3532 |          1.2728 |       1.9204 |            0.8900 |            2967
2022-05-31 10:46:04 |    19 |     1.000e-04 |     1.3331 |          1.3376 |       2.1397 |            0.9105 |            2967
2022-05-31 10:49:24 |    20 |     1.000e-04 |     1.3378 |          1.2497 |       1.8716 |            0.8762 |            2967
2022-05-31 10:52:42 |    21 |     1.000e-04 |     1.3233 |          1.3146 |       2.3156 |            0.8527 |            2967
2022-05-31 10:55:59 |    22 |     1.000e-04 |     1.3085 |          1.2972 |       2.0921 |            0.8816 |            2967
2022-05-31 10:59:17 |    23 |     1.000e-04 |     1.2922 |          1.4462 |       2.7150 |            0.9008 |            2967
2022-05-31 11:02:36 |    24 |     1.000e-04 |     1.2959 |          1.2505 |       1.9634 |            0.8577 |            2967
2022-05-31 11:05:54 |    25 |     1.000e-04 |     1.2768 |          1.4477 |       2.5757 |            0.9349 |            2967
2022-05-31 11:09:13 |    26 |     1.000e-04 |     1.2691 |          1.6056 |       3.6366 |            0.8766 |            2967
2022-05-31 11:12:33 |    27 |     1.000e-04 |     1.2535 |          1.4413 |       2.9559 |            0.8488 |            2967
2022-05-31 11:15:54 |    28 |     1.000e-04 |     1.2518 |          1.2545 |       2.0707 |            0.8415 |            2967
2022-05-31 11:19:14 |    29 |     1.000e-04 |     1.2508 |          1.2832 |       2.1666 |            0.8505 |            2967
2022-05-31 11:22:33 |    30 |     1.000e-04 |     1.2282 |          1.2173 |       1.7577 |            0.8685 |            2967
2022-05-31 11:25:54 |    31 |     1.000e-04 |     1.2232 |          1.4472 |       2.8818 |            0.8693 |            2967
2022-05-31 11:29:12 |    32 |     1.000e-04 |     1.2216 |          1.2018 |       1.7643 |            0.8504 |            2967
2022-05-31 11:32:32 |    33 |     1.000e-04 |     1.2189 |          1.7460 |       4.5020 |            0.8393 |            2967
2022-05-31 11:35:50 |    34 |     1.000e-04 |     1.2085 |          1.2245 |       1.8873 |            0.8493 |            2967
2022-05-31 11:39:08 |    35 |     1.000e-04 |     1.1927 |          1.2684 |       2.0726 |            0.8562 |            2967
2022-05-31 11:42:28 |    36 |     1.000e-04 |     1.2045 |          1.3717 |       2.6435 |            0.8435 |            2967
2022-05-31 11:45:46 |    37 |     1.000e-04 |     1.1811 |          1.1908 |       1.6685 |            0.8588 |            2967
