               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_0 | MAE_energy_0_grad | GPU Memory (MB)
2022-06-20 11:38:11 |     1 |     1.000e-04 |     2.5336 |          2.1473 |       4.6437 |            1.2190 |            2964
2022-06-20 11:41:50 |     2 |     1.000e-04 |     1.9443 |          1.8245 |       3.5284 |            1.1196 |            2965
2022-06-20 11:45:28 |     3 |     1.000e-04 |     1.7964 |          1.8581 |       4.0521 |            1.0471 |            2965
2022-06-20 11:49:06 |     4 |     1.000e-04 |     1.7179 |          1.5852 |       2.8264 |            1.0205 |            2965
2022-06-20 11:52:44 |     5 |     1.000e-04 |     1.6510 |          1.6300 |       3.1906 |            0.9929 |            2965
2022-06-20 11:56:22 |     6 |     1.000e-04 |     1.6143 |          1.7931 |       4.1492 |            0.9619 |            2965
2022-06-20 11:59:59 |     7 |     1.000e-04 |     1.5646 |          1.6482 |       3.5486 |            0.9397 |            2965
2022-06-20 12:03:37 |     8 |     1.000e-04 |     1.5379 |          1.5320 |       3.0375 |            0.9241 |            2965
2022-06-20 12:07:15 |     9 |     1.000e-04 |     1.5040 |          1.4356 |       2.5541 |            0.9251 |            2965
2022-06-20 12:10:53 |    10 |     1.000e-04 |     1.4818 |          1.3592 |       2.3642 |            0.8889 |            2965
2022-06-20 12:14:32 |    11 |     1.000e-04 |     1.4559 |          1.3031 |       2.1454 |            0.8769 |            2965
2022-06-20 12:18:09 |    12 |     1.000e-04 |     1.4438 |          1.4184 |       2.6469 |            0.8904 |            2965
2022-06-20 12:21:48 |    13 |     1.000e-04 |     1.4120 |          1.3609 |       2.4810 |            0.8653 |            2965
2022-06-20 12:25:26 |    14 |     1.000e-04 |     1.3926 |          1.3574 |       2.4743 |            0.8641 |            2965
2022-06-20 12:29:03 |    15 |     1.000e-04 |     1.3672 |          1.3515 |       2.5879 |            0.8340 |            2965
2022-06-20 12:32:39 |    16 |     1.000e-04 |     1.3635 |          1.3775 |       2.7812 |            0.8228 |            2965
2022-06-20 12:36:15 |    17 |     1.000e-04 |     1.3489 |          1.4811 |       3.1954 |            0.8426 |            2965
2022-06-20 12:39:52 |    18 |     1.000e-04 |     1.3267 |          1.2553 |       2.2450 |            0.8088 |            2965
2022-06-20 12:43:29 |    19 |     1.000e-04 |     1.3207 |          1.2095 |       2.0238 |            0.8070 |            2965
2022-06-20 12:47:04 |    20 |     1.000e-04 |     1.3070 |          1.4783 |       3.3521 |            0.8090 |            2965
2022-06-20 12:50:42 |    21 |     1.000e-04 |     1.2947 |          1.2177 |       2.1440 |            0.7897 |            3149
2022-06-20 12:54:18 |    22 |     1.000e-04 |     1.2881 |          1.2597 |       2.3307 |            0.7944 |            3149
2022-06-20 12:57:54 |    23 |     1.000e-04 |     1.2755 |          1.2442 |       2.2863 |            0.7889 |            3149
2022-06-20 13:01:30 |    24 |     1.000e-04 |     1.2663 |          1.1803 |       2.0914 |            0.7647 |            3149
2022-06-20 13:05:07 |    25 |     1.000e-04 |     1.2513 |          1.1575 |       1.9338 |            0.7747 |            3149
2022-06-20 13:08:44 |    26 |     1.000e-04 |     1.2615 |          1.1840 |       2.0557 |            0.7756 |            3149
2022-06-20 13:12:19 |    27 |     1.000e-04 |     1.2535 |          1.1880 |       2.1318 |            0.7646 |            3149
2022-06-20 13:15:55 |    28 |     1.000e-04 |     1.2238 |          1.1868 |       2.1336 |            0.7626 |            3149
2022-06-20 13:19:31 |    29 |     1.000e-04 |     1.2269 |          1.2557 |       2.5164 |            0.7537 |            3149
2022-06-20 13:23:08 |    30 |     1.000e-04 |     1.2115 |          1.1563 |       2.0078 |            0.7572 |            3149
2022-06-20 13:26:45 |    31 |     1.000e-04 |     1.2098 |          1.1106 |       1.7699 |            0.7596 |            3149
2022-06-20 13:30:22 |    32 |     1.000e-04 |     1.1977 |          1.2472 |       2.4787 |            0.7504 |            3149
2022-06-20 13:33:57 |    33 |     1.000e-04 |     1.1875 |          1.1275 |       1.9244 |            0.7450 |            3149
2022-06-20 13:37:33 |    34 |     1.000e-04 |     1.1968 |          1.1456 |       1.9975 |            0.7477 |            3149
2022-06-20 13:41:10 |    35 |     1.000e-04 |     1.1790 |          1.1403 |       1.9232 |            0.7570 |            3149
2022-06-20 13:44:47 |    36 |     1.000e-04 |     1.1785 |          1.1279 |       1.9724 |            0.7370 |            3149
2022-06-20 13:48:23 |    37 |     1.000e-04 |     1.1619 |          1.1113 |       1.8602 |            0.7407 |            3149
2022-06-20 13:51:59 |    38 |     1.000e-04 |     1.1742 |          1.3565 |       3.1344 |            0.7312 |            3149
2022-06-20 13:55:35 |    39 |     1.000e-04 |     1.1613 |          1.1715 |       2.1860 |            0.7356 |            3149
2022-06-20 13:59:10 |    40 |     1.000e-04 |     1.1525 |          1.4793 |       3.6727 |            0.7452 |            3149
2022-06-20 14:02:45 |    41 |     1.000e-04 |     1.1516 |          1.1148 |       1.9804 |            0.7223 |            3149
2022-06-20 14:06:20 |    42 |     1.000e-04 |     1.1441 |          1.1971 |       2.3088 |            0.7374 |            3149
2022-06-20 14:09:56 |    43 |     1.000e-04 |     1.1420 |          1.2116 |       2.5052 |            0.7109 |            3149
2022-06-20 14:13:32 |    44 |     1.000e-04 |     1.1314 |          1.0948 |       1.9377 |            0.7106 |            3149
2022-06-20 14:17:09 |    45 |     1.000e-04 |     1.1287 |          1.2364 |       2.6358 |            0.7109 |            3149
2022-06-20 14:20:45 |    46 |     1.000e-04 |     1.1261 |          1.0874 |       1.8929 |            0.7112 |            3149
2022-06-20 14:24:22 |    47 |     1.000e-04 |     1.1209 |          1.1007 |       2.0176 |            0.6998 |            3149
2022-06-20 14:27:58 |    48 |     1.000e-04 |     1.1177 |          1.0689 |       1.8549 |            0.7005 |            3149
2022-06-20 14:31:34 |    49 |     1.000e-04 |     1.1152 |          1.1023 |       2.0024 |            0.7035 |            3149
2022-06-20 14:35:10 |    50 |     1.000e-04 |     1.1038 |          1.0927 |       1.9126 |            0.7128 |            3149
2022-06-20 14:38:45 |    51 |     1.000e-04 |     1.1108 |          1.0882 |       1.9420 |            0.7022 |            3149
2022-06-20 14:42:21 |    52 |     1.000e-04 |     1.0996 |          1.1227 |       2.0776 |            0.7094 |            3149
2022-06-20 14:45:58 |    53 |     1.000e-04 |     1.0931 |          1.2453 |       2.7419 |            0.6968 |            3149
2022-06-20 14:49:34 |    54 |     1.000e-04 |     1.0945 |          1.1317 |       2.1477 |            0.7048 |            3149
2022-06-20 14:53:10 |    55 |     1.000e-04 |     1.0891 |          1.1009 |       2.0360 |            0.6969 |            3149
