               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_0 | MAE_energy_0_grad | GPU Memory (MB)
2022-06-20 11:03:29 |     1 |     1.000e-04 |     3.6955 |          2.4951 |       2.4312 |            2.0064 |            2824
2022-06-20 11:06:27 |     2 |     1.000e-04 |     2.4175 |          2.1585 |       2.0359 |            1.7487 |            2824
2022-06-20 11:09:23 |     3 |     1.000e-04 |     2.1352 |          2.0084 |       2.0110 |            1.6037 |            2824
2022-06-20 11:12:20 |     4 |     1.000e-04 |     1.9729 |          1.8439 |       1.7406 |            1.4946 |            2824
2022-06-20 11:15:18 |     5 |     1.000e-04 |     1.8627 |          1.8230 |       1.8824 |            1.4434 |            2824
2022-06-20 11:18:13 |     6 |     1.000e-04 |     1.7795 |          1.7909 |       1.9415 |            1.4002 |            2824
2022-06-20 11:21:09 |     7 |     1.000e-04 |     1.7102 |          1.7632 |       2.0990 |            1.3414 |            2824
2022-06-20 11:24:05 |     8 |     1.000e-04 |     1.6586 |          1.6216 |       1.5790 |            1.3052 |            2824
2022-06-20 11:27:02 |     9 |     1.000e-04 |     1.6031 |          1.5910 |       1.6145 |            1.2677 |            2824
2022-06-20 11:30:00 |    10 |     1.000e-04 |     1.5643 |          1.4907 |       1.2781 |            1.2344 |            2824
2022-06-20 11:32:58 |    11 |     1.000e-04 |     1.5237 |          1.5617 |       1.6497 |            1.2299 |            2824
2022-06-20 11:35:52 |    12 |     1.000e-04 |     1.4911 |          1.4789 |       1.3953 |            1.2000 |            2824
2022-06-20 11:38:46 |    13 |     1.000e-04 |     1.4683 |          1.4529 |       1.3355 |            1.1853 |            2824
2022-06-20 11:41:40 |    14 |     1.000e-04 |     1.4343 |          1.4533 |       1.3293 |            1.1861 |            3144
2022-06-20 11:44:34 |    15 |     1.000e-04 |     1.4096 |          1.4487 |       1.3070 |            1.1856 |            3144
2022-06-20 11:47:26 |    16 |     1.000e-04 |     1.3899 |          1.4100 |       1.2963 |            1.1494 |            3144
2022-06-20 11:50:19 |    17 |     1.000e-04 |     1.3701 |          1.4415 |       1.5346 |            1.1334 |            3144
2022-06-20 11:53:13 |    18 |     1.000e-04 |     1.3481 |          1.3515 |       1.1879 |            1.1128 |            3144
2022-06-20 11:56:06 |    19 |     1.000e-04 |     1.3283 |          1.3976 |       1.2302 |            1.1512 |            3144
2022-06-20 11:58:58 |    20 |     1.000e-04 |     1.3119 |          1.3581 |       1.1851 |            1.1210 |            3144
2022-06-20 12:01:52 |    21 |     1.000e-04 |     1.2991 |          1.3500 |       1.2416 |            1.1009 |            3144
2022-06-20 12:04:45 |    22 |     1.000e-04 |     1.2755 |          1.3458 |       1.3028 |            1.0845 |            3144
2022-06-20 12:07:39 |    23 |     1.000e-04 |     1.2598 |          1.4124 |       1.6374 |            1.0835 |            3144
2022-06-20 12:10:33 |    24 |     1.000e-04 |     1.2522 |          1.3601 |       1.4595 |            1.0673 |            3144
2022-06-20 12:13:27 |    25 |     1.000e-04 |     1.2433 |          1.3512 |       1.2896 |            1.0924 |            3144
